FIPS*,County name,RUC code,Pop. 1990,Pop. 2000,Pop. 2010,Pop. 2018,Change 2010-18,
01000,Alabama,,"4,040,389","4,447,207","4,780,138","4,887,871",2.3%,
01001,Autauga County,2,"34,222","43,751","54,574","55,601",1.9%,
01003,Baldwin County,3,"98,280","140,416","182,264","218,022",19.6%,
01005,Barbour County,6,"25,417","29,042","27,457","24,881",-9.4%,
01007,Bibb County,1,"16,598","19,856","22,920","22,400",-2.3%,
01009,Blount County,1,"39,248","50,982","57,321","57,840",0.9%,
01011,Bullock County,6,"11,042","11,603","10,911","10,138",-7.1%,
01013,Butler County,6,"21,892","21,394","20,943","19,680",-6.0%,
01015,Calhoun County,3,"116,032","111,882","118,594","114,277",-3.6%,
01017,Chambers County,6,"36,876","36,600","34,171","33,615",-1.6%,
01019,Cherokee County,6,"19,543","23,909","25,989","26,032",0.2%,
01021,Chilton County,1,"32,458","39,604","43,630","44,153",1.2%,
01023,Choctaw County,9,"16,018","15,953","13,858","12,841",-7.3%,
01025,Clarke County,7,"27,240","27,870","25,833","23,920",-7.4%,
01027,Clay County,9,"13,252","14,240","13,930","13,275",-4.7%,
01029,Cleburne County,8,"12,730","14,141","14,972","14,987",0.1%,
01031,Coffee County,4,"40,240","43,639","49,952","51,909",3.9%,
01033,Colbert County,3,"51,666","54,979","54,428","54,762",0.6%,
01035,Conecuh County,7,"14,054","14,077","13,233","12,277",-7.2%,
01037,Coosa County,8,"11,063","11,842","11,758","10,715",-8.9%,
01039,Covington County,6,"36,478","37,640","37,766","36,986",-2.1%,
01041,Crenshaw County,8,"13,635","13,657","13,898","13,824",-0.5%,
01043,Cullman County,4,"67,613","77,426","80,406","83,442",3.8%,
01045,Dale County,4,"49,633","49,120","50,249","48,956",-2.6%,
01047,Dallas County,4,"48,130","46,361","43,818","38,310",-12.6%,
01049,DeKalb County,6,"54,651","64,436","71,116","71,385",0.4%,
01051,Elmore County,2,"49,210","65,819","79,293","81,887",3.3%,
01053,Escambia County,6,"35,518","38,452","38,320","36,748",-4.1%,
01055,Etowah County,3,"99,840","103,448","104,427","102,501",-1.8%,
01057,Fayette County,6,"17,962","18,522","17,232","16,433",-4.6%,
01059,Franklin County,6,"27,814","31,257","31,709","31,363",-1.1%,
01061,Geneva County,3,"23,647","25,700","26,787","26,314",-1.8%,
01063,Greene County,8,"10,153","9,923","9,043","8,233",-9.0%,
01065,Hale County,3,"15,498","18,270","15,762","14,726",-6.6%,
01067,Henry County,3,"15,374","16,297","17,300","17,209",-0.5%,
01069,Houston County,3,"81,331","88,831","101,554","104,722",3.1%,
01071,Jackson County,6,"47,796","53,871","53,224","51,736",-2.8%,
01073,Jefferson County,1,"651,520","662,041","658,506","659,300",0.1%,
01075,Lamar County,8,"15,715","15,902","14,564","13,844",-4.9%,
01077,Lauderdale County,3,"79,661","87,952","92,709","92,387",-0.3%,
01079,Lawrence County,3,"31,513","34,834","34,339","32,957",-4.0%,
01081,Lee County,3,"87,146","115,014","140,300","163,941",16.9%,
01083,Limestone County,2,"54,135","65,668","82,782","96,174",16.2%,
01085,Lowndes County,2,"12,658","13,483","11,296","9,974",-11.7%,
01087,Macon County,6,"24,928","24,086","21,448","18,439",-14.0%,
01089,Madison County,2,"238,912","276,998","334,811","366,519",9.5%,
01091,Marengo County,7,"23,084","22,533","21,038","19,066",-9.4%,
01093,Marion County,7,"29,830","31,162","30,776","29,763",-3.3%,
01095,Marshall County,4,"70,832","82,303","93,019","96,109",3.3%,
01097,Mobile County,2,"378,643","399,887","413,145","413,757",0.1%,
01099,Monroe County,7,"23,968","24,320","23,067","21,067",-8.7%,
01101,Montgomery County,2,"209,085","223,518","229,378","225,763",-1.6%,
01103,Morgan County,3,"100,043","111,076","119,486","119,089",-0.3%,
01105,Perry County,8,"12,759","11,876","10,579","9,140",-13.6%,
01107,Pickens County,3,"20,699","20,914","19,746","19,938",1.0%,
01109,Pike County,6,"27,595","29,688","32,895","33,338",1.3%,
01111,Randolph County,6,"19,881","22,344","22,916","22,725",-0.8%,
01113,Russell County,2,"46,860","49,854","52,947","57,781",9.1%,
01115,St. Clair County,1,"49,811","64,740","83,345","88,690",6.4%,
01117,Shelby County,1,"99,363","143,429","195,313","215,707",10.4%,
01119,Sumter County,8,"16,174","14,772","13,763","12,691",-7.8%,
01121,Talladega County,4,"74,109","80,734","82,283","79,828",-3.0%,
01123,Tallapoosa County,6,"38,826","41,771","41,618","40,497",-2.7%,
01125,Tuscaloosa County,3,"150,500","164,932","194,668","208,911",7.3%,
01127,Walker County,1,"67,670","70,688","67,023","63,711",-4.9%,
01129,Washington County,8,"16,694","18,077","17,581","16,378",-6.8%,
01131,Wilcox County,9,"13,568","12,995","11,667","10,627",-8.9%,
01133,Winston County,6,"22,053","24,806","24,488","23,660",-3.4%,
