Textbox1;Textbox77;fips;name;ruc_code;estBase040190;April2000;ESTIMATESBASE2010;current_year;percentChange
Pop. 2018;Change 2010-18;12000;Florida;;12,938,071;15,982,571;18,804,580;21,299,325;13.30%
Pop. 2018;Change 2010-18;12001;Alachua County;2;181,596;217,964;247,337;269,956;9.10%
Pop. 2018;Change 2010-18;12003;Baker County;1;18,486;22,255;27,115;28,355;4.60%
Pop. 2018;Change 2010-18;12005;Bay County;3;126,994;148,270;168,852;185,287;9.70%
Pop. 2018;Change 2010-18;12007;Bradford County;6;22,515;26,096;28,520;27,732;-2.80%
Pop. 2018;Change 2010-18;12009;Brevard County;2;398,978;476,299;543,372;596,849;9.80%
Pop. 2018;Change 2010-18;12011;Broward County;1;1,255,531;1,622,974;1,748,146;1,951,260;11.60%
Pop. 2018;Change 2010-18;12013;Calhoun County;6;11,011;13,002;14,625;14,587;-0.30%
Pop. 2018;Change 2010-18;12015;Charlotte County;3;110,975;141,620;159,964;184,998;15.60%
Pop. 2018;Change 2010-18;12017;Citrus County;3;93,513;118,106;141,229;147,929;4.70%
Pop. 2018;Change 2010-18;12019;Clay County;1;105,986;140,788;190,865;216,072;13.20%
Pop. 2018;Change 2010-18;12021;Collier County;2;152,099;251,412;321,521;378,488;17.70%
Pop. 2018;Change 2010-18;12023;Columbia County;4;42,613;56,413;67,526;70,503;4.40%
Pop. 2018;Change 2010-18;12027;DeSoto County;6;23,865;32,204;34,862;37,489;7.50%
Pop. 2018;Change 2010-18;12029;Dixie County;6;10,585;13,758;16,422;16,700;1.70%
Pop. 2018;Change 2010-18;12031;Duval County;1;672,971;778,896;864,267;950,181;9.90%
Pop. 2018;Change 2010-18;12033;Escambia County;2;262,445;294,415;297,620;315,534;6.00%
Pop. 2018;Change 2010-18;12035;Flagler County;2;28,701;49,818;95,703;112,067;17.10%
Pop. 2018;Change 2010-18;12037;Franklin County;6;8,967;9,827;11,549;11,736;1.60%
Pop. 2018;Change 2010-18;12039;Gadsden County;2;41,116;45,017;47,744;45,894;-3.90%
Pop. 2018;Change 2010-18;12041;Gilchrist County;2;9,667;14,429;16,941;18,256;7.80%
Pop. 2018;Change 2010-18;12043;Glades County;6;7,591;10,531;12,881;13,724;6.50%
Pop. 2018;Change 2010-18;12045;Gulf County;3;11,504;14,548;15,861;16,164;1.90%
Pop. 2018;Change 2010-18;12047;Hamilton County;6;10,930;13,321;14,799;14,310;-3.30%
Pop. 2018;Change 2010-18;12049;Hardee County;6;19,499;26,854;27,731;27,245;-1.80%
Pop. 2018;Change 2010-18;12051;Hendry County;4;25,773;36,184;39,143;41,556;6.20%
Pop. 2018;Change 2010-18;12053;Hernando County;1;101,115;130,795;172,777;190,865;10.50%
Pop. 2018;Change 2010-18;12055;Highlands County;3;68,432;87,391;98,786;105,424;6.70%
