County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
AUTAUGA,Alabama,AL,1001,2003,,,0,46997,4547086
BALDWIN,Alabama,AL,1003,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,152971,4547086
BARBOUR,Alabama,AL,1005,2003,,,0,28568,4547086
BIBB,Alabama,AL,1007,2003,,,0,20774,4547086
BLOUNT,Alabama,AL,1009,2003,,,0,52884,4547086
BULLOCK,Alabama,AL,1011,2003,,,0,11396,4547086
BUTLER,Alabama,AL,1013,2003,,,0,21259,4547086
CALHOUN,Alabama,AL,1015,2003,,,0,113895,4547086
CHAMBERS,Alabama,AL,1017,2003,,,0,35871,4547086
CHEROKEE,Alabama,AL,1019,2003,,,0,24533,4547086
CHILTON,Alabama,AL,1021,2003,,,0,40813,4547086
CHOCTAW,Alabama,AL,1023,2003,,,0,15323,4547086
CLARKE,Alabama,AL,1025,2003,,,0,27258,4547086
CLAY,Alabama,AL,1027,2003,,,0,14147,4547086
CLEBURNE,Alabama,AL,1029,2003,,,0,14390,4547086
COFFEE,Alabama,AL,1031,2003,,,0,45532,4547086
COLBERT,Alabama,AL,1033,2003,,,0,54814,4547086
CONECUH,Alabama,AL,1035,2003,,,0,13825,4547086
COOSA,Alabama,AL,1037,2003,,,0,11818,4547086
COVINGTON,Alabama,AL,1039,2003,,,0,37679,4547086
CRENSHAW,Alabama,AL,1041,2003,,,0,13729,4547086
CULLMAN,Alabama,AL,1043,2003,,,0,78320,4547086
DALE,Alabama,AL,1045,2003,,,0,49459,4547086
DALLAS,Alabama,AL,1047,2003,,,0,45599,4547086
DEKALB,Alabama,AL,1049,2003,,,0,66440,4547086
ELMORE,Alabama,AL,1051,2003,,,0,69860,4547086
ESCAMBIA,Alabama,AL,1053,2003,,,0,38413,4547086
ETOWAH,Alabama,AL,1055,2003,,,0,103742,4547086
FAYETTE,Alabama,AL,1057,2003,,,0,18135,4547086
FRANKLIN,Alabama,AL,1059,2003,,,0,31392,4547086
GENEVA,Alabama,AL,1061,2003,,,0,26027,4547086
GREENE,Alabama,AL,1063,2003,,,0,9659,4547086
HALE,Alabama,AL,1065,2003,,,0,17517,4547086
HENRY,Alabama,AL,1067,2003,,,0,16597,4547086
HOUSTON,Alabama,AL,1069,2003,,,0,92647,4547086
JACKSON,Alabama,AL,1071,2003,,,0,53676,4547086
JEFFERSON,Alabama,AL,1073,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,37,660979,4547086
LAMAR,Alabama,AL,1075,2003,,,0,15500,4547086
LAUDERDALE,Alabama,AL,1077,2003,,,0,89380,4547086
LAWRENCE,Alabama,AL,1079,2003,,,0,34684,4547086
LEE,Alabama,AL,1081,2003,,,0,122601,4547086
LIMESTONE,Alabama,AL,1083,2003,,,0,70801,4547086
LOWNDES,Alabama,AL,1085,2003,,,0,12826,4547086
MACON,Alabama,AL,1087,2003,,,0,23294,4547086
MADISON,Alabama,AL,1089,2003,,,0,294341,4547086
MARENGO,Alabama,AL,1091,2003,,,0,22083,4547086
MARION,Alabama,AL,1093,2003,,,0,31045,4547086
MARSHALL,Alabama,AL,1095,2003,,,0,85519,4547086
MOBILE,Alabama,AL,1097,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,26,403865,4547086
MONROE,Alabama,AL,1099,2003,,,0,23945,4547086
MONTGOMERY,Alabama,AL,1101,2003,,,0,225276,4547086
MORGAN,Alabama,AL,1103,2003,,,0,113599,4547086
PERRY,Alabama,AL,1105,2003,,,0,11486,4547086
PICKENS,Alabama,AL,1107,2003,,,0,20563,4547086
PIKE,Alabama,AL,1109,2003,,,0,30651,4547086
RANDOLPH,Alabama,AL,1111,2003,,,0,22515,4547086
RUSSELL,Alabama,AL,1113,2003,,,0,50781,4547086
ST. CLAIR,Alabama,AL,1115,2003,,,0,70320,4547086
SHELBY,Alabama,AL,1117,2003,,,0,158993,4547086
SUMTER,Alabama,AL,1119,2003,,,0,14469,4547086
TALLADEGA,Alabama,AL,1121,2003,,,0,81199,4547086
TALLAPOOSA,Alabama,AL,1123,2003,,,0,41726,4547086
TUSCALOOSA,Alabama,AL,1125,2003,,,0,173854,4547086
WALKER,Alabama,AL,1127,2003,,,0,69590,4547086
WASHINGTON,Alabama,AL,1129,2003,,,0,17927,4547086
WILCOX,Alabama,AL,1131,2003,,,0,12596,4547086
WINSTON,Alabama,AL,1133,2003,,,0,24710,4547086
AUTAUGA,Alabama,AL,1001,2004,,,0,48079,4580379
BALDWIN,Alabama,AL,1003,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,157156,4580379
BARBOUR,Alabama,AL,1005,2004,,,0,28410,4580379
BIBB,Alabama,AL,1007,2004,,,0,21080,4580379
BLOUNT,Alabama,AL,1009,2004,,,0,53518,4580379
BULLOCK,Alabama,AL,1011,2004,,,0,11327,4580379
BUTLER,Alabama,AL,1013,2004,,,0,21214,4580379
CALHOUN,Alabama,AL,1015,2004,,,0,114566,4580379
CHAMBERS,Alabama,AL,1017,2004,,,0,35628,4580379
CHEROKEE,Alabama,AL,1019,2004,,,0,24741,4580379
CHILTON,Alabama,AL,1021,2004,,,0,41216,4580379
CHOCTAW,Alabama,AL,1023,2004,,,0,15113,4580379
CLARKE,Alabama,AL,1025,2004,,,0,27054,4580379
CLAY,Alabama,AL,1027,2004,,,0,14116,4580379
CLEBURNE,Alabama,AL,1029,2004,,,0,14473,4580379
COFFEE,Alabama,AL,1031,2004,,,0,46163,4580379
COLBERT,Alabama,AL,1033,2004,,,0,54759,4580379
CONECUH,Alabama,AL,1035,2004,,,0,13741,4580379
COOSA,Alabama,AL,1037,2004,,,0,11810,4580379
COVINGTON,Alabama,AL,1039,2004,,,0,37692,4580379
CRENSHAW,Alabama,AL,1041,2004,,,0,13753,4580379
CULLMAN,Alabama,AL,1043,2004,,,0,78618,4580379
DALE,Alabama,AL,1045,2004,,,0,49572,4580379
DALLAS,Alabama,AL,1047,2004,,,0,45345,4580379
DEKALB,Alabama,AL,1049,2004,,,0,67108,4580379
ELMORE,Alabama,AL,1051,2004,,,0,71207,4580379
ESCAMBIA,Alabama,AL,1053,2004,,,0,38400,4580379
ETOWAH,Alabama,AL,1055,2004,,,0,103840,4580379
FAYETTE,Alabama,AL,1057,2004,,,0,18006,4580379
FRANKLIN,Alabama,AL,1059,2004,,,0,31437,4580379
GENEVA,Alabama,AL,1061,2004,,,0,26136,4580379
GREENE,Alabama,AL,1063,2004,,,0,9571,4580379
HALE,Alabama,AL,1065,2004,,,0,17266,4580379
HENRY,Alabama,AL,1067,2004,,,0,16697,4580379
HOUSTON,Alabama,AL,1069,2004,,,0,93919,4580379
JACKSON,Alabama,AL,1071,2004,,,0,53611,4580379
JEFFERSON,Alabama,AL,1073,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,42,660625,4580379
LAMAR,Alabama,AL,1075,2004,,,0,15366,4580379
LAUDERDALE,Alabama,AL,1077,2004,,,0,89856,4580379
LAWRENCE,Alabama,AL,1079,2004,,,0,34634,4580379
LEE,Alabama,AL,1081,2004,,,0,125130,4580379
LIMESTONE,Alabama,AL,1083,2004,,,0,72512,4580379
LOWNDES,Alabama,AL,1085,2004,,,0,12607,4580379
MACON,Alabama,AL,1087,2004,,,0,23030,4580379
MADISON,Alabama,AL,1089,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,300122,4580379
MARENGO,Alabama,AL,1091,2004,,,0,21933,4580379
MARION,Alabama,AL,1093,2004,,,0,31006,4580379
MARSHALL,Alabama,AL,1095,2004,,,0,86591,4580379
MOBILE,Alabama,AL,1097,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,27,405191,4580379
MONROE,Alabama,AL,1099,2004,,,0,23820,4580379
MONTGOMERY,Alabama,AL,1101,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,225862,4580379
MORGAN,Alabama,AL,1103,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,114440,4580379
PERRY,Alabama,AL,1105,2004,,,0,11356,4580379
PICKENS,Alabama,AL,1107,2004,,,0,20446,4580379
PIKE,Alabama,AL,1109,2004,,,0,30972,4580379
RANDOLPH,Alabama,AL,1111,2004,,,0,22572,4580379
RUSSELL,Alabama,AL,1113,2004,,,0,51090,4580379
ST. CLAIR,Alabama,AL,1115,2004,,,0,72180,4580379
SHELBY,Alabama,AL,1117,2004,,,0,164181,4580379
SUMTER,Alabama,AL,1119,2004,,,0,14368,4580379
TALLADEGA,Alabama,AL,1121,2004,,,0,81354,4580379
TALLAPOOSA,Alabama,AL,1123,2004,,,0,41711,4580379
TUSCALOOSA,Alabama,AL,1125,2004,,,0,176828,4580379
WALKER,Alabama,AL,1127,2004,,,0,69224,4580379
WASHINGTON,Alabama,AL,1129,2004,,,0,17877,4580379
WILCOX,Alabama,AL,1131,2004,,,0,12463,4580379
WINSTON,Alabama,AL,1133,2004,,,0,24678,4580379
AUTAUGA,Alabama,AL,1001,2005,,,0,49161,4613672
BALDWIN,Alabama,AL,1003,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,161341,4613672
BARBOUR,Alabama,AL,1005,2005,,,0,28252,4613672
BIBB,Alabama,AL,1007,2005,,,0,21386,4613672
BLOUNT,Alabama,AL,1009,2005,,,0,54152,4613672
BULLOCK,Alabama,AL,1011,2005,,,0,11258,4613672
BUTLER,Alabama,AL,1013,2005,,,0,21169,4613672
CALHOUN,Alabama,AL,1015,2005,,,0,115237,4613672
CHAMBERS,Alabama,AL,1017,2005,,,0,35385,4613672
CHEROKEE,Alabama,AL,1019,2005,,,0,24949,4613672
CHILTON,Alabama,AL,1021,2005,,,0,41619,4613672
CHOCTAW,Alabama,AL,1023,2005,,,0,14903,4613672
CLARKE,Alabama,AL,1025,2005,,,0,26850,4613672
CLAY,Alabama,AL,1027,2005,,,0,14085,4613672
CLEBURNE,Alabama,AL,1029,2005,,,0,14556,4613672
COFFEE,Alabama,AL,1031,2005,,,0,46794,4613672
COLBERT,Alabama,AL,1033,2005,,,0,54704,4613672
CONECUH,Alabama,AL,1035,2005,,,0,13657,4613672
COOSA,Alabama,AL,1037,2005,,,0,11802,4613672
COVINGTON,Alabama,AL,1039,2005,,,0,37705,4613672
CRENSHAW,Alabama,AL,1041,2005,,,0,13777,4613672
CULLMAN,Alabama,AL,1043,2005,,,0,78916,4613672
DALE,Alabama,AL,1045,2005,,,0,49685,4613672
DALLAS,Alabama,AL,1047,2005,,,0,45091,4613672
DEKALB,Alabama,AL,1049,2005,,,0,67776,4613672
ELMORE,Alabama,AL,1051,2005,,,0,72554,4613672
ESCAMBIA,Alabama,AL,1053,2005,,,0,38387,4613672
ETOWAH,Alabama,AL,1055,2005,,,0,103938,4613672
FAYETTE,Alabama,AL,1057,2005,,,0,17877,4613672
FRANKLIN,Alabama,AL,1059,2005,,,0,31482,4613672
GENEVA,Alabama,AL,1061,2005,,,0,26245,4613672
GREENE,Alabama,AL,1063,2005,,,0,9483,4613672
HALE,Alabama,AL,1065,2005,,,0,17015,4613672
HENRY,Alabama,AL,1067,2005,,,0,16797,4613672
HOUSTON,Alabama,AL,1069,2005,,,0,95191,4613672
JACKSON,Alabama,AL,1071,2005,,,0,53546,4613672
JEFFERSON,Alabama,AL,1073,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,41,660271,4613672
LAMAR,Alabama,AL,1075,2005,,,0,15232,4613672
LAUDERDALE,Alabama,AL,1077,2005,,,0,90332,4613672
LAWRENCE,Alabama,AL,1079,2005,,,0,34584,4613672
LEE,Alabama,AL,1081,2005,,,0,127659,4613672
LIMESTONE,Alabama,AL,1083,2005,,,0,74223,4613672
LOWNDES,Alabama,AL,1085,2005,,,0,12388,4613672
MACON,Alabama,AL,1087,2005,,,0,22766,4613672
MADISON,Alabama,AL,1089,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,305903,4613672
MARENGO,Alabama,AL,1091,2005,,,0,21783,4613672
MARION,Alabama,AL,1093,2005,,,0,30967,4613672
MARSHALL,Alabama,AL,1095,2005,,,0,87663,4613672
MOBILE,Alabama,AL,1097,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,22,406517,4613672
MONROE,Alabama,AL,1099,2005,,,0,23695,4613672
MONTGOMERY,Alabama,AL,1101,2005,,,0,226448,4613672
MORGAN,Alabama,AL,1103,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,115281,4613672
PERRY,Alabama,AL,1105,2005,,,0,11226,4613672
PICKENS,Alabama,AL,1107,2005,,,0,20329,4613672
PIKE,Alabama,AL,1109,2005,,,0,31293,4613672
RANDOLPH,Alabama,AL,1111,2005,,,0,22629,4613672
RUSSELL,Alabama,AL,1113,2005,,,0,51399,4613672
ST. CLAIR,Alabama,AL,1115,2005,,,0,74040,4613672
SHELBY,Alabama,AL,1117,2005,,,0,169369,4613672
SUMTER,Alabama,AL,1119,2005,,,0,14267,4613672
TALLADEGA,Alabama,AL,1121,2005,,,0,81509,4613672
TALLAPOOSA,Alabama,AL,1123,2005,,,0,41696,4613672
TUSCALOOSA,Alabama,AL,1125,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,179802,4613672
WALKER,Alabama,AL,1127,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,68858,4613672
WASHINGTON,Alabama,AL,1129,2005,,,0,17827,4613672
WILCOX,Alabama,AL,1131,2005,,,0,12330,4613672
WINSTON,Alabama,AL,1133,2005,,,0,24646,4613672
AUTAUGA,Alabama,AL,1001,2006,,,0,50243,4646965
BALDWIN,Alabama,AL,1003,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,165526,4646965
BARBOUR,Alabama,AL,1005,2006,,,0,28094,4646965
BIBB,Alabama,AL,1007,2006,,,0,21692,4646965
BLOUNT,Alabama,AL,1009,2006,,,0,54786,4646965
BULLOCK,Alabama,AL,1011,2006,,,0,11189,4646965
BUTLER,Alabama,AL,1013,2006,,,0,21124,4646965
CALHOUN,Alabama,AL,1015,2006,,,0,115908,4646965
CHAMBERS,Alabama,AL,1017,2006,,,0,35142,4646965
CHEROKEE,Alabama,AL,1019,2006,,,0,25157,4646965
CHILTON,Alabama,AL,1021,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,42022,4646965
CHOCTAW,Alabama,AL,1023,2006,,,0,14693,4646965
CLARKE,Alabama,AL,1025,2006,,,0,26646,4646965
CLAY,Alabama,AL,1027,2006,,,0,14054,4646965
CLEBURNE,Alabama,AL,1029,2006,,,0,14639,4646965
COFFEE,Alabama,AL,1031,2006,,,0,47425,4646965
COLBERT,Alabama,AL,1033,2006,,,0,54649,4646965
CONECUH,Alabama,AL,1035,2006,,,0,13573,4646965
COOSA,Alabama,AL,1037,2006,,,0,11794,4646965
COVINGTON,Alabama,AL,1039,2006,,,0,37718,4646965
CRENSHAW,Alabama,AL,1041,2006,,,0,13801,4646965
CULLMAN,Alabama,AL,1043,2006,,,0,79214,4646965
DALE,Alabama,AL,1045,2006,,,0,49798,4646965
DALLAS,Alabama,AL,1047,2006,,,0,44837,4646965
DEKALB,Alabama,AL,1049,2006,,,0,68444,4646965
ELMORE,Alabama,AL,1051,2006,,,0,73901,4646965
ESCAMBIA,Alabama,AL,1053,2006,,,0,38374,4646965
ETOWAH,Alabama,AL,1055,2006,,,0,104036,4646965
FAYETTE,Alabama,AL,1057,2006,,,0,17748,4646965
FRANKLIN,Alabama,AL,1059,2006,,,0,31527,4646965
GENEVA,Alabama,AL,1061,2006,,,0,26354,4646965
GREENE,Alabama,AL,1063,2006,,,0,9395,4646965
HALE,Alabama,AL,1065,2006,,,0,16764,4646965
HENRY,Alabama,AL,1067,2006,,,0,16897,4646965
HOUSTON,Alabama,AL,1069,2006,,,0,96463,4646965
JACKSON,Alabama,AL,1071,2006,,,0,53481,4646965
