County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
APACHE,Arizona,AZ,4001,2003,,,0,70057,5508859
COCHISE,Arizona,AZ,4003,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,121826,5508859
COCONINO,Arizona,AZ,4005,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,121753,5508859
GILA,Arizona,AZ,4007,2003,,,0,51988,5508859
GRAHAM,Arizona,AZ,4009,2003,,,0,34597,5508859
GREENLEE,Arizona,AZ,4011,2003,,,0,8509,5508859
LA PAZ,Arizona,AZ,4012,2003,,,0,19916,5508859
MARICOPA,Arizona,AZ,4013,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,273,3295897,5508859
MARICOPA,Arizona,AZ,4013,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,63,3295897,5508859
MARICOPA,Arizona,AZ,4013,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,32,3295897,5508859
MOHAVE,Arizona,AZ,4015,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,168541,5508859
NAVAJO,Arizona,AZ,4017,2003,,,0,100464,5508859
PIMA,Arizona,AZ,4019,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,145,884670,5508859
PIMA,Arizona,AZ,4019,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,14,884670,5508859
PINAL,Arizona,AZ,4021,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,238359,5508859
SANTA CRUZ,Arizona,AZ,4023,2003,,,0,41093,5508859
YAVAPAI,Arizona,AZ,4025,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,180469,5508859
YUMA,Arizona,AZ,4027,2003,,,0,170723,5508859
APACHE,Arizona,AZ,4001,2004,,,0,70266,5635063
COCHISE,Arizona,AZ,4003,2004,,,0,123187,5635063
COCONINO,Arizona,AZ,4005,2004,,,0,123564,5635063
GILA,Arizona,AZ,4007,2004,,,0,52218,5635063
GRAHAM,Arizona,AZ,4009,2004,,,0,34971,5635063
GREENLEE,Arizona,AZ,4011,2004,,,0,8499,5635063
LA PAZ,Arizona,AZ,4012,2004,,,0,19998,5635063
MARICOPA,Arizona,AZ,4013,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,320,3370391,5635063
MARICOPA,Arizona,AZ,4013,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,65,3370391,5635063
MARICOPA,Arizona,AZ,4013,2004,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,32,3370391,5635063
MOHAVE,Arizona,AZ,4015,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,173061,5635063
NAVAJO,Arizona,AZ,4017,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,101468,5635063
PIMA,Arizona,AZ,4019,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,132,898326,5635063
PIMA,Arizona,AZ,4019,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,23,898326,5635063
PINAL,Arizona,AZ,4021,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,257989,5635063
SANTA CRUZ,Arizona,AZ,4023,2004,,,0,41997,5635063
YAVAPAI,Arizona,AZ,4025,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,24,184833,5635063
YAVAPAI,Arizona,AZ,4025,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,12,184833,5635063
YAVAPAI,Arizona,AZ,4025,2004,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,12,184833,5635063
YUMA,Arizona,AZ,4027,2004,,,0,174299,5635063
APACHE,Arizona,AZ,4001,2005,,,0,70475,5761267
COCHISE,Arizona,AZ,4003,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,124548,5761267
COCONINO,Arizona,AZ,4005,2005,,,0,125375,5761267
GILA,Arizona,AZ,4007,2005,,,0,52448,5761267
GRAHAM,Arizona,AZ,4009,2005,,,0,35345,5761267
GREENLEE,Arizona,AZ,4011,2005,,,0,8489,5761267
LA PAZ,Arizona,AZ,4012,2005,,,0,20080,5761267
MARICOPA,Arizona,AZ,4013,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,346,3444885,5761267
MARICOPA,Arizona,AZ,4013,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,68,3444885,5761267
MARICOPA,Arizona,AZ,4013,2005,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,50,3444885,5761267
MOHAVE,Arizona,AZ,4015,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,177581,5761267
MOHAVE,Arizona,AZ,4015,2005,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,11,177581,5761267
NAVAJO,Arizona,AZ,4017,2005,,,0,102472,5761267
PIMA,Arizona,AZ,4019,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,145,911982,5761267
PIMA,Arizona,AZ,4019,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,18,911982,5761267
PIMA,Arizona,AZ,4019,2005,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10,911982,5761267
PINAL,Arizona,AZ,4021,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,277619,5761267
SANTA CRUZ,Arizona,AZ,4023,2005,,,0,42901,5761267
YAVAPAI,Arizona,AZ,4025,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,189197,5761267
YUMA,Arizona,AZ,4027,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,177875,5761267
APACHE,Arizona,AZ,4001,2006,,,0,70684,5887471
COCHISE,Arizona,AZ,4003,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,125909,5887471
COCONINO,Arizona,AZ,4005,2006,,,0,127186,5887471
GILA,Arizona,AZ,4007,2006,,,0,52678,5887471
GRAHAM,Arizona,AZ,4009,2006,,,0,35719,5887471
GREENLEE,Arizona,AZ,4011,2006,,,0,8479,5887471
LA PAZ,Arizona,AZ,4012,2006,,,0,20162,5887471
MARICOPA,Arizona,AZ,4013,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,400,3519379,5887471
MARICOPA,Arizona,AZ,4013,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,84,3519379,5887471
MARICOPA,Arizona,AZ,4013,2006,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,54,3519379,5887471
MOHAVE,Arizona,AZ,4015,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,182101,5887471
NAVAJO,Arizona,AZ,4017,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,103476,5887471
PIMA,Arizona,AZ,4019,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,157,925638,5887471
PIMA,Arizona,AZ,4019,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,23,925638,5887471
PIMA,Arizona,AZ,4019,2006,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10,925638,5887471
PINAL,Arizona,AZ,4021,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,297249,5887471
SANTA CRUZ,Arizona,AZ,4023,2006,,,0,43805,5887471
YAVAPAI,Arizona,AZ,4025,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,193561,5887471
YUMA,Arizona,AZ,4027,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,181451,5887471
APACHE,Arizona,AZ,4001,2007,,,0,70893,6013675
COCHISE,Arizona,AZ,4003,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,127270,6013675
COCONINO,Arizona,AZ,4005,2007,,,0,128997,6013675
GILA,Arizona,AZ,4007,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,52908,6013675
GRAHAM,Arizona,AZ,4009,2007,,,0,36093,6013675
GREENLEE,Arizona,AZ,4011,2007,,,0,8469,6013675
LA PAZ,Arizona,AZ,4012,2007,,,0,20244,6013675
MARICOPA,Arizona,AZ,4013,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,411,3593873,6013675
MARICOPA,Arizona,AZ,4013,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,118,3593873,6013675
MARICOPA,Arizona,AZ,4013,2007,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,45,3593873,6013675
MOHAVE,Arizona,AZ,4015,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,186621,6013675
NAVAJO,Arizona,AZ,4017,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,104480,6013675
PIMA,Arizona,AZ,4019,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,137,939294,6013675
PIMA,Arizona,AZ,4019,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,19,939294,6013675
PINAL,Arizona,AZ,4021,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,34,316879,6013675
SANTA CRUZ,Arizona,AZ,4023,2007,,,0,44709,6013675
YAVAPAI,Arizona,AZ,4025,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,197925,6013675
YAVAPAI,Arizona,AZ,4025,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,13,197925,6013675
YUMA,Arizona,AZ,4027,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,185027,6013675
APACHE,Arizona,AZ,4001,2008,,,0,71102,6139879
COCHISE,Arizona,AZ,4003,2008,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,128631,6139879
COCONINO,Arizona,AZ,4005,2008,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,130808,6139879
GILA,Arizona,AZ,4007,2008,,,0,53138,6139879
GRAHAM,Arizona,AZ,4009,2008,,,0,36467,6139879
GREENLEE,Arizona,AZ,4011,2008,,,0,8459,6139879
LA PAZ,Arizona,AZ,4012,2008,,,0,20326,6139879
MARICOPA,Arizona,AZ,4013,2008,Drug poisonings (overdose) Unintentional (X40-X44),D1,404,3668367,6139879
MARICOPA,Arizona,AZ,4013,2008,Drug poisonings (overdose) Suicide (X60-X64),D2,88,3668367,6139879
MARICOPA,Arizona,AZ,4013,2008,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,34,3668367,6139879
MOHAVE,Arizona,AZ,4015,2008,Drug poisonings (overdose) Unintentional (X40-X44),D1,26,191141,6139879
NAVAJO,Arizona,AZ,4017,2008,,,0,105484,6139879
PIMA,Arizona,AZ,4019,2008,Drug poisonings (overdose) Unintentional (X40-X44),D1,91,952950,6139879
PIMA,Arizona,AZ,4019,2008,Drug poisonings (overdose) Suicide (X60-X64),D2,25,952950,6139879
PINAL,Arizona,AZ,4021,2008,Drug poisonings (overdose) Unintentional (X40-X44),D1,23,336509,6139879
SANTA CRUZ,Arizona,AZ,4023,2008,,,0,45613,6139879
YAVAPAI,Arizona,AZ,4025,2008,Drug poisonings (overdose) Unintentional (X40-X44),D1,20,202289,6139879
YAVAPAI,Arizona,AZ,4025,2008,Drug poisonings (overdose) Suicide (X60-X64),D2,12,202289,6139879
YUMA,Arizona,AZ,4027,2008,,,0,188603,6139879
