County Name,State,State Abbreviation,County Code,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
ALAMEDA,California,CA,6001,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,96,1463670,34886514
ALAMEDA,California,CA,6001,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,11,1463670,34886514
BUTTE,California,CA,6007,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,40,208189,34886514
CONTRA COSTA,California,CA,6013,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,53,978967,34886514
CONTRA COSTA,California,CA,6013,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,11,978967,34886514
EL DORADO,California,CA,6017,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10,163736,34886514
FRESNO,California,CA,6019,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,66,838285,34886514
HUMBOLDT,California,CA,6023,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,38,128938,34886514
KERN,California,CA,6029,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,79,715029,34886514
KERN,California,CA,6029,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,18,715029,34886514
LOS ANGELES,California,CA,6037,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,616,9609123,34886514
LOS ANGELES,California,CA,6037,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,93,9609123,34886514
LOS ANGELES,California,CA,6037,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,21,9609123,34886514
MADERA,California,CA,6039,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,131477,34886514
MARIN,California,CA,6041,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,19,248837,34886514
MENDOCINO,California,CA,6045,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,86733,34886514
MERCED,California,CA,6047,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,224564,34886514
MONTEREY,California,CA,6053,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,29,405745,34886514
NAPA,California,CA,6055,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,128013,34886514
ORANGE,California,CA,6059,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,152,2895479,34886514
ORANGE,California,CA,6059,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,50,2895479,34886514
ORANGE,California,CA,6059,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,16,2895479,34886514
PLACER,California,CA,6061,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,28,278339,34886514
RIVERSIDE,California,CA,6065,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,128,1738652,34886514
