Year,State Population,County Name,State Abbreviation,County Population,BUYER_MME
2003,4547086,AUTAUGA,AL,46997,0.0
2003,4547086,BALDWIN,AL,152971,0.0
2003,4547086,BARBOUR,AL,28568,0.0
2003,4547086,BIBB,AL,20774,0.0
2003,4547086,BLOUNT,AL,52884,0.0
2003,4547086,BULLOCK,AL,11396,0.0
2003,4547086,BUTLER,AL,21259,0.0
2003,4547086,CALHOUN,AL,113895,0.0
2003,4547086,CHAMBERS,AL,35871,0.0
2003,4547086,CHEROKEE,AL,24533,0.0
2003,4547086,CHILTON,AL,40813,0.0
2003,4547086,CHOCTAW,AL,15323,0.0
2003,4547086,CLARKE,AL,27258,0.0
2003,4547086,CLAY,AL,14147,0.0
2003,4547086,CLEBURNE,AL,14390,0.0
2003,4547086,COFFEE,AL,45532,0.0
2003,4547086,COLBERT,AL,54814,0.0
2003,4547086,CONECUH,AL,13825,0.0
2003,4547086,COOSA,AL,11818,0.0
2003,4547086,COVINGTON,AL,37679,0.0
2003,4547086,CRENSHAW,AL,13729,0.0
2003,4547086,CULLMAN,AL,78320,0.0
2003,4547086,DALE,AL,49459,0.0
2003,4547086,DALLAS,AL,45599,0.0
2003,4547086,DEKALB,AL,66440,0.0
2003,4547086,ELMORE,AL,69860,0.0
2003,4547086,ESCAMBIA,AL,38413,0.0
2003,4547086,ETOWAH,AL,103742,0.0
2003,4547086,FAYETTE,AL,18135,0.0
2003,4547086,FRANKLIN,AL,31392,0.0
2003,4547086,GENEVA,AL,26027,0.0
2003,4547086,GREENE,AL,9659,0.0
2003,4547086,HALE,AL,17517,0.0
2003,4547086,HENRY,AL,16597,0.0
2003,4547086,HOUSTON,AL,92647,0.0
2003,4547086,JACKSON,AL,53676,0.0
2003,4547086,JEFFERSON,AL,660979,0.0
2003,4547086,LAMAR,AL,15500,0.0
2003,4547086,LAUDERDALE,AL,89380,0.0
2003,4547086,LAWRENCE,AL,34684,0.0
2003,4547086,LEE,AL,122601,0.0
2003,4547086,LIMESTONE,AL,70801,0.0
2003,4547086,LOWNDES,AL,12826,0.0
2003,4547086,MACON,AL,23294,0.0
2003,4547086,MADISON,AL,294341,0.0
2003,4547086,MARENGO,AL,22083,0.0
2003,4547086,MARION,AL,31045,0.0
2003,4547086,MARSHALL,AL,85519,0.0
2003,4547086,MOBILE,AL,403865,0.0
2003,4547086,MONROE,AL,23945,0.0
2003,4547086,MONTGOMERY,AL,225276,0.0
2003,4547086,MORGAN,AL,113599,0.0
2003,4547086,PERRY,AL,11486,0.0
2003,4547086,PICKENS,AL,20563,0.0
2003,4547086,PIKE,AL,30651,0.0
2003,4547086,RANDOLPH,AL,22515,0.0
2003,4547086,RUSSELL,AL,50781,0.0
2003,4547086,ST. CLAIR,AL,70320,0.0
2003,4547086,SHELBY,AL,158993,0.0
2003,4547086,SUMTER,AL,14469,0.0
2003,4547086,TALLADEGA,AL,81199,0.0
2003,4547086,TALLAPOOSA,AL,41726,0.0
2003,4547086,TUSCALOOSA,AL,173854,0.0
2003,4547086,WALKER,AL,69590,0.0
2003,4547086,WASHINGTON,AL,17927,0.0
2003,4547086,WILCOX,AL,12596,0.0
2003,4547086,WINSTON,AL,24710,0.0
2004,4580379,AUTAUGA,AL,48079,0.0
2004,4580379,BALDWIN,AL,157156,0.0
2004,4580379,BARBOUR,AL,28410,0.0
2004,4580379,BIBB,AL,21080,0.0
2004,4580379,BLOUNT,AL,53518,0.0
2004,4580379,BULLOCK,AL,11327,0.0
2004,4580379,BUTLER,AL,21214,0.0
2004,4580379,CALHOUN,AL,114566,0.0
2004,4580379,CHAMBERS,AL,35628,0.0
2004,4580379,CHEROKEE,AL,24741,0.0
2004,4580379,CHILTON,AL,41216,0.0
2004,4580379,CHOCTAW,AL,15113,0.0
2004,4580379,CLARKE,AL,27054,0.0
2004,4580379,CLAY,AL,14116,0.0
2004,4580379,CLEBURNE,AL,14473,0.0
2004,4580379,COFFEE,AL,46163,0.0
2004,4580379,COLBERT,AL,54759,0.0
2004,4580379,CONECUH,AL,13741,0.0
2004,4580379,COOSA,AL,11810,0.0
2004,4580379,COVINGTON,AL,37692,0.0
2004,4580379,CRENSHAW,AL,13753,0.0
2004,4580379,CULLMAN,AL,78618,0.0
2004,4580379,DALE,AL,49572,0.0
2004,4580379,DALLAS,AL,45345,0.0
2004,4580379,DEKALB,AL,67108,0.0
2004,4580379,ELMORE,AL,71207,0.0
2004,4580379,ESCAMBIA,AL,38400,0.0
2004,4580379,ETOWAH,AL,103840,0.0
2004,4580379,FAYETTE,AL,18006,0.0
2004,4580379,FRANKLIN,AL,31437,0.0
2004,4580379,GENEVA,AL,26136,0.0
2004,4580379,GREENE,AL,9571,0.0
2004,4580379,HALE,AL,17266,0.0
2004,4580379,HENRY,AL,16697,0.0
2004,4580379,HOUSTON,AL,93919,0.0
2004,4580379,JACKSON,AL,53611,0.0
2004,4580379,JEFFERSON,AL,660625,0.0
2004,4580379,LAMAR,AL,15366,0.0
2004,4580379,LAUDERDALE,AL,89856,0.0
2004,4580379,LAWRENCE,AL,34634,0.0
2004,4580379,LEE,AL,125130,0.0
2004,4580379,LIMESTONE,AL,72512,0.0
2004,4580379,LOWNDES,AL,12607,0.0
2004,4580379,MACON,AL,23030,0.0
2004,4580379,MADISON,AL,300122,0.0
2004,4580379,MARENGO,AL,21933,0.0
2004,4580379,MARION,AL,31006,0.0
2004,4580379,MARSHALL,AL,86591,0.0
2004,4580379,MOBILE,AL,405191,0.0
2004,4580379,MONROE,AL,23820,0.0
2004,4580379,MONTGOMERY,AL,225862,0.0
2004,4580379,MORGAN,AL,114440,0.0
2004,4580379,PERRY,AL,11356,0.0
2004,4580379,PICKENS,AL,20446,0.0
2004,4580379,PIKE,AL,30972,0.0
2004,4580379,RANDOLPH,AL,22572,0.0
2004,4580379,RUSSELL,AL,51090,0.0
2004,4580379,ST. CLAIR,AL,72180,0.0
2004,4580379,SHELBY,AL,164181,0.0
2004,4580379,SUMTER,AL,14368,0.0
2004,4580379,TALLADEGA,AL,81354,0.0
2004,4580379,TALLAPOOSA,AL,41711,0.0
2004,4580379,TUSCALOOSA,AL,176828,0.0
2004,4580379,WALKER,AL,69224,0.0
2004,4580379,WASHINGTON,AL,17877,0.0
2004,4580379,WILCOX,AL,12463,0.0
2004,4580379,WINSTON,AL,24678,0.0
2005,4613672,AUTAUGA,AL,49161,0.0
2005,4613672,BALDWIN,AL,161341,0.0
2005,4613672,BARBOUR,AL,28252,0.0
2005,4613672,BIBB,AL,21386,0.0
2005,4613672,BLOUNT,AL,54152,0.0
2005,4613672,BULLOCK,AL,11258,0.0
2005,4613672,BUTLER,AL,21169,0.0
2005,4613672,CALHOUN,AL,115237,0.0
2005,4613672,CHAMBERS,AL,35385,0.0
2005,4613672,CHEROKEE,AL,24949,0.0
2005,4613672,CHILTON,AL,41619,0.0
2005,4613672,CHOCTAW,AL,14903,0.0
2005,4613672,CLARKE,AL,26850,0.0
2005,4613672,CLAY,AL,14085,0.0
2005,4613672,CLEBURNE,AL,14556,0.0
