County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population,Policy State
ALACHUA,Florida,FL,12001,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,226775,16829174,True
BAKER,Florida,FL,12003,2003,,,0,23713,16829174,True
BAY,Florida,FL,12005,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,21,154444,16829174,True
BRADFORD,Florida,FL,12007,2003,,,0,26822,16829174,True
BREVARD,Florida,FL,12009,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,83,496420,16829174,True
BREVARD,Florida,FL,12009,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,14,496420,16829174,True
BROWARD,Florida,FL,12011,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,170,1660525,16829174,True
BROWARD,Florida,FL,12011,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,60,1660525,16829174,True
CALHOUN,Florida,FL,12013,2003,,,0,13488,16829174,True
CHARLOTTE,Florida,FL,12015,2003,,,0,147122,16829174,True
CITRUS,Florida,FL,12017,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,125042,16829174,True
CLAY,Florida,FL,12019,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,155812,16829174,True
COLLIER,Florida,FL,12021,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,29,272445,16829174,True
COLUMBIA,Florida,FL,12023,2003,,,0,59746,16829174,True
DESOTO,Florida,FL,12027,2003,,,0,33002,16829174,True
DIXIE,Florida,FL,12029,2003,,,0,14556,16829174,True
DUVAL,Florida,FL,12031,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,107,804507,16829174,True
DUVAL,Florida,FL,12031,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,20,804507,16829174,True
ESCAMBIA,Florida,FL,12033,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,27,295375,16829174,True
FLAGLER,Florida,FL,12035,2003,,,0,63582,16829174,True
FRANKLIN,Florida,FL,12037,2003,,,0,10343,16829174,True
GADSDEN,Florida,FL,12039,2003,,,0,45836,16829174,True
GILCHRIST,Florida,FL,12041,2003,,,0,15182,16829174,True
GLADES,Florida,FL,12043,2003,,,0,11236,16829174,True
GULF,Florida,FL,12045,2003,,,0,14941,16829174,True
HAMILTON,Florida,FL,12047,2003,,,0,13765,16829174,True
HARDEE,Florida,FL,12049,2003,,,0,27118,16829174,True
HENDRY,Florida,FL,12051,2003,,,0,37072,16829174,True
