County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
ALACHUA,Florida,FL,12001,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,226775,16829174
BAKER,Florida,FL,12003,2003,,,0,23713,16829174
BAY,Florida,FL,12005,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,21,154444,16829174
BRADFORD,Florida,FL,12007,2003,,,0,26822,16829174
BREVARD,Florida,FL,12009,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,83,496420,16829174
BREVARD,Florida,FL,12009,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,14,496420,16829174
BROWARD,Florida,FL,12011,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,170,1660525,16829174
BROWARD,Florida,FL,12011,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,60,1660525,16829174
CALHOUN,Florida,FL,12013,2003,,,0,13488,16829174
CHARLOTTE,Florida,FL,12015,2003,,,0,147122,16829174
CITRUS,Florida,FL,12017,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,125042,16829174
CLAY,Florida,FL,12019,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,155812,16829174
COLLIER,Florida,FL,12021,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,29,272445,16829174
COLUMBIA,Florida,FL,12023,2003,,,0,59746,16829174
DESOTO,Florida,FL,12027,2003,,,0,33002,16829174
DIXIE,Florida,FL,12029,2003,,,0,14556,16829174
DUVAL,Florida,FL,12031,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,107,804507,16829174
DUVAL,Florida,FL,12031,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,20,804507,16829174
ESCAMBIA,Florida,FL,12033,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,27,295375,16829174
FLAGLER,Florida,FL,12035,2003,,,0,63582,16829174
FRANKLIN,Florida,FL,12037,2003,,,0,10343,16829174
GADSDEN,Florida,FL,12039,2003,,,0,45836,16829174
GILCHRIST,Florida,FL,12041,2003,,,0,15182,16829174
GLADES,Florida,FL,12043,2003,,,0,11236,16829174
GULF,Florida,FL,12045,2003,,,0,14941,16829174
HAMILTON,Florida,FL,12047,2003,,,0,13765,16829174
HARDEE,Florida,FL,12049,2003,,,0,27118,16829174
HENDRY,Florida,FL,12051,2003,,,0,37072,16829174
HERNANDO,Florida,FL,12053,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,143389,16829174
HIGHLANDS,Florida,FL,12055,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,90811,16829174
HILLSBOROUGH,Florida,FL,12057,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,114,1068048,16829174
HILLSBOROUGH,Florida,FL,12057,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,12,1068048,16829174
HOLMES,Florida,FL,12059,2003,,,0,18972,16829174
INDIAN RIVER,Florida,FL,12061,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,120422,16829174
JACKSON,Florida,FL,12063,2003,,,0,47675,16829174
JEFFERSON,Florida,FL,12065,2003,,,0,13440,16829174
LAFAYETTE,Florida,FL,12067,2003,,,0,7574,16829174
LAKE,Florida,FL,12069,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,236407,16829174
LEE,Florida,FL,12071,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,61,494262,16829174
LEE,Florida,FL,12071,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,16,494262,16829174
