Year,State Population,County Name,State Abbreviation,County Population,BUYER_MME
2003,16829174,ALACHUA,FL,226775,0.0
2003,16829174,BAKER,FL,23713,0.0
2003,16829174,BAY,FL,154444,0.0
2003,16829174,BRADFORD,FL,26822,0.0
2003,16829174,BREVARD,FL,496420,0.0
2003,16829174,BROWARD,FL,1660525,0.0
2003,16829174,CALHOUN,FL,13488,0.0
2003,16829174,CHARLOTTE,FL,147122,0.0
2003,16829174,CITRUS,FL,125042,0.0
2003,16829174,CLAY,FL,155812,0.0
2003,16829174,COLLIER,FL,272445,0.0
2003,16829174,COLUMBIA,FL,59746,0.0
2003,16829174,DESOTO,FL,33002,0.0
2003,16829174,DIXIE,FL,14556,0.0
2003,16829174,DUVAL,FL,804507,0.0
2003,16829174,ESCAMBIA,FL,295375,0.0
2003,16829174,FLAGLER,FL,63582,0.0
2003,16829174,FRANKLIN,FL,10343,0.0
2003,16829174,GADSDEN,FL,45836,0.0
2003,16829174,GILCHRIST,FL,15182,0.0
2003,16829174,GLADES,FL,11236,0.0
2003,16829174,GULF,FL,14941,0.0
2003,16829174,HAMILTON,FL,13765,0.0
2003,16829174,HARDEE,FL,27118,0.0
2003,16829174,HENDRY,FL,37072,0.0
2003,16829174,HERNANDO,FL,143389,0.0
2003,16829174,HIGHLANDS,FL,90811,0.0
2003,16829174,HILLSBOROUGH,FL,1068048,0.0
2003,16829174,HOLMES,FL,18972,0.0
2003,16829174,INDIAN RIVER,FL,120422,0.0
2003,16829174,JACKSON,FL,47675,0.0
2003,16829174,JEFFERSON,FL,13440,0.0
2003,16829174,LAFAYETTE,FL,7574,0.0
2003,16829174,LAKE,FL,236407,0.0
2003,16829174,LEE,FL,494262,0.0
2003,16829174,LEON,FL,250303,0.0
2003,16829174,LEVY,FL,36353,0.0
2003,16829174,LIBERTY,FL,7416,0.0
2003,16829174,MADISON,FL,18873,0.0
2003,16829174,MANATEE,FL,281660,0.0
2003,16829174,MARION,FL,280602,0.0
2003,16829174,MARTIN,FL,132801,0.0
2003,16829174,MIAMI-DADE,FL,2327059,0.0
2003,16829174,MONROE,FL,77649,0.0
2003,16829174,NASSAU,FL,62343,0.0
2003,16829174,OKALOOSA,FL,173610,0.0
2003,16829174,OKEECHOBEE,FL,37108,0.0
2003,16829174,ORANGE,FL,971072,0.0
2003,16829174,OSCEOLA,FL,201368,0.0
2003,16829174,PALM BEACH,FL,1187874,0.0
2003,16829174,PASCO,FL,380734,0.0
2003,16829174,PINELLAS,FL,920090,0.0
2003,16829174,POLK,FL,519351,0.0
2003,16829174,PUTNAM,FL,71603,0.0
2003,16829174,ST. JOHNS,FL,143277,0.0
2003,16829174,ST. LUCIE,FL,218053,0.0
2003,16829174,SANTA ROSA,FL,127838,0.0
2003,16829174,SARASOTA,FL,342031,0.0
2003,16829174,SEMINOLE,FL,382626,0.0
2003,16829174,SUMTER,FL,65361,0.0
2003,16829174,SUWANNEE,FL,36882,0.0
2003,16829174,TAYLOR,FL,20249,0.0
2003,16829174,UNION,FL,14061,0.0
2003,16829174,VOLUSIA,FL,458748,0.0
2003,16829174,WAKULLA,FL,25236,0.0
2003,16829174,WALTON,FL,44905,0.0
2003,16829174,WASHINGTON,FL,22151,0.0
2004,17111375,ALACHUA,FL,229712,0.0
2004,17111375,BAKER,FL,24199,0.0
2004,17111375,BAY,FL,156502,0.0
2004,17111375,BRADFORD,FL,27064,0.0
2004,17111375,BREVARD,FL,503127,0.0
2004,17111375,BROWARD,FL,1673042,0.0
2004,17111375,CALHOUN,FL,13650,0.0
2004,17111375,CHARLOTTE,FL,148956,0.0
2004,17111375,CITRUS,FL,127354,0.0
