County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
APPLING,Georgia,GA,13001,2003,,,0,17654,8637271
ATKINSON,Georgia,GA,13003,2003,,,0,7842,8637271
BACON,Georgia,GA,13005,2003,,,0,10395,8637271
BAKER,Georgia,GA,13007,2003,,,0,3867,8637271
BALDWIN,Georgia,GA,13009,2003,,,0,44982,8637271
BANKS,Georgia,GA,13011,2003,,,0,15610,8637271
BARROW,Georgia,GA,13013,2003,,,0,53131,8637271
BARTOW,Georgia,GA,13015,2003,,,0,83283,8637271
BEN HILL,Georgia,GA,13017,2003,,,0,17540,8637271
BERRIEN,Georgia,GA,13019,2003,,,0,17134,8637271
BIBB,Georgia,GA,13021,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,154507,8637271
BLECKLEY,Georgia,GA,13023,2003,,,0,12086,8637271
BRANTLEY,Georgia,GA,13025,2003,,,0,15751,8637271
BROOKS,Georgia,GA,13027,2003,,,0,16414,8637271
BRYAN,Georgia,GA,13029,2003,,,0,25464,8637271
BULLOCH,Georgia,GA,13031,2003,,,0,60245,8637271
BURKE,Georgia,GA,13033,2003,,,0,22573,8637271
BUTTS,Georgia,GA,13035,2003,,,0,20723,8637271
CALHOUN,Georgia,GA,13037,2003,,,0,6431,8637271
CAMDEN,Georgia,GA,13039,2003,,,0,45713,8637271
CANDLER,Georgia,GA,13043,2003,,,0,9990,8637271
CARROLL,Georgia,GA,13045,2003,,,0,94286,8637271
CATOOSA,Georgia,GA,13047,2003,,,0,56413,8637271
CHARLTON,Georgia,GA,13049,2003,,,0,10849,8637271
CHATHAM,Georgia,GA,13051,2003,,,0,242197,8637271
CHATTAHOOCHEE,Georgia,GA,13053,2003,,,0,13806,8637271
CHATTOOGA,Georgia,GA,13055,2003,,,0,25600,8637271
CHEROKEE,Georgia,GA,13057,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,163721,8637271
CLARKE,Georgia,GA,13059,2003,,,0,106369,8637271
CLAY,Georgia,GA,13061,2003,,,0,3294,8637271
CLAYTON,Georgia,GA,13063,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,243526,8637271
CLINCH,Georgia,GA,13065,2003,,,0,6832,8637271
COBB,Georgia,GA,13067,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,34,631636,8637271
COFFEE,Georgia,GA,13069,2003,,,0,38900,8637271
COLQUITT,Georgia,GA,13071,2003,,,0,43085,8637271
COLUMBIA,Georgia,GA,13073,2003,,,0,99859,8637271
COOK,Georgia,GA,13075,2003,,,0,16208,8637271
COWETA,Georgia,GA,13077,2003,,,0,100684,8637271
CRAWFORD,Georgia,GA,13079,2003,,,0,12526,8637271
CRISP,Georgia,GA,13081,2003,,,0,22443,8637271
DADE,Georgia,GA,13083,2003,,,0,15588,8637271
DAWSON,Georgia,GA,13085,2003,,,0,17862,8637271
DECATUR,Georgia,GA,13087,2003,,,0,28129,8637271
DEKALB,Georgia,GA,13089,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,25,673901,8637271
DODGE,Georgia,GA,13091,2003,,,0,19946,8637271
DOOLY,Georgia,GA,13093,2003,,,0,12512,8637271
DOUGHERTY,Georgia,GA,13095,2003,,,0,95617,8637271
DOUGLAS,Georgia,GA,13097,2003,,,0,104312,8637271
EARLY,Georgia,GA,13099,2003,,,0,11937,8637271
ECHOLS,Georgia,GA,13101,2003,,,0,3831,8637271
EFFINGHAM,Georgia,GA,13103,2003,,,0,41944,8637271
ELBERT,Georgia,GA,13105,2003,,,0,20407,8637271
EMANUEL,Georgia,GA,13107,2003,,,0,22078,8637271
EVANS,Georgia,GA,13109,2003,,,0,10641,8637271
FANNIN,Georgia,GA,13111,2003,,,0,20965,8637271
FAYETTE,Georgia,GA,13113,2003,,,0,95888,8637271
FLOYD,Georgia,GA,13115,2003,,,0,92329,8637271
FORSYTH,Georgia,GA,13117,2003,,,0,121505,8637271
FRANKLIN,Georgia,GA,13119,2003,,,0,20808,8637271
FULTON,Georgia,GA,13121,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,62,847037,8637271
GILMER,Georgia,GA,13123,2003,,,0,24840,8637271
GLASCOCK,Georgia,GA,13125,2003,,,0,2719,8637271
GLYNN,Georgia,GA,13127,2003,,,0,71192,8637271
GORDON,Georgia,GA,13129,2003,,,0,47420,8637271
GRADY,Georgia,GA,13131,2003,,,0,24063,8637271
GREENE,Georgia,GA,13133,2003,,,0,14855,8637271
GWINNETT,Georgia,GA,13135,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,21,653290,8637271
HABERSHAM,Georgia,GA,13137,2003,,,0,38029,8637271
HALL,Georgia,GA,13139,2003,,,0,151648,8637271
HANCOCK,Georgia,GA,13141,2003,,,0,9879,8637271
HARALSON,Georgia,GA,13143,2003,,,0,26596,8637271
HARRIS,Georgia,GA,13145,2003,,,0,26249,8637271
HART,Georgia,GA,13147,2003,,,0,23650,8637271
HEARD,Georgia,GA,13149,2003,,,0,11232,8637271
HENRY,Georgia,GA,13151,2003,,,0,144797,8637271
HOUSTON,Georgia,GA,13153,2003,,,0,119491,8637271
IRWIN,Georgia,GA,13155,2003,,,0,9801,8637271
JACKSON,Georgia,GA,13157,2003,,,0,47264,8637271
JASPER,Georgia,GA,13159,2003,,,0,12179,8637271
JEFF DAVIS,Georgia,GA,13161,2003,,,0,13396,8637271
JEFFERSON,Georgia,GA,13163,2003,,,0,17146,8637271
JENKINS,Georgia,GA,13165,2003,,,0,8499,8637271
JOHNSON,Georgia,GA,13167,2003,,,0,8961,8637271
JONES,Georgia,GA,13169,2003,,,0,25185,8637271
LAMAR,Georgia,GA,13171,2003,,,0,16661,8637271
LANIER,Georgia,GA,13173,2003,,,0,8092,8637271
LAURENS,Georgia,GA,13175,2003,,,0,45935,8637271
LEE,Georgia,GA,13177,2003,,,0,25825,8637271
LIBERTY,Georgia,GA,13179,2003,,,0,62240,8637271
LINCOLN,Georgia,GA,13181,2003,,,0,8231,8637271
LONG,Georgia,GA,13183,2003,,,0,11491,8637271
LOWNDES,Georgia,GA,13185,2003,,,0,97260,8637271
LUMPKIN,Georgia,GA,13187,2003,,,0,23714,8637271
MCDUFFIE,Georgia,GA,13189,2003,,,0,21443,8637271
MCINTOSH,Georgia,GA,13191,2003,,,0,11886,8637271
MACON,Georgia,GA,13193,2003,,,0,14251,8637271
MADISON,Georgia,GA,13195,2003,,,0,26443,8637271
MARION,Georgia,GA,13197,2003,,,0,7613,8637271
