County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
ADA,Idaho,ID,16001,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,328379,1376067
ADAMS,Idaho,ID,16003,2003,,,0,3633,1376067
BANNOCK,Idaho,ID,16005,2003,,,0,77746,1376067
BEAR LAKE,Idaho,ID,16007,2003,,,0,6289,1376067
BENEWAH,Idaho,ID,16009,2003,,,0,9202,1376067
BINGHAM,Idaho,ID,16011,2003,,,0,42898,1376067
BLAINE,Idaho,ID,16013,2003,,,0,19708,1376067
BOISE,Idaho,ID,16015,2003,,,0,6758,1376067
BONNER,Idaho,ID,16017,2003,,,0,38030,1376067
BONNEVILLE,Idaho,ID,16019,2003,,,0,89070,1376067
BOUNDARY,Idaho,ID,16021,2003,,,0,10207,1376067
BUTTE,Idaho,ID,16023,2003,,,0,2897,1376067
CAMAS,Idaho,ID,16025,2003,,,0,1023,1376067
CANYON,Idaho,ID,16027,2003,,,0,148693,1376067
CARIBOU,Idaho,ID,16029,2003,,,0,7197,1376067
CASSIA,Idaho,ID,16031,2003,,,0,21867,1376067
CLARK,Idaho,ID,16033,2003,,,0,1010,1376067
CLEARWATER,Idaho,ID,16035,2003,,,0,8877,1376067
CUSTER,Idaho,ID,16037,2003,,,0,4349,1376067
ELMORE,Idaho,ID,16039,2003,,,0,28492,1376067
FRANKLIN,Idaho,ID,16041,2003,,,0,11768,1376067
FREMONT,Idaho,ID,16043,2003,,,0,12239,1376067
GEM,Idaho,ID,16045,2003,,,0,15641,1376067
GOODING,Idaho,ID,16047,2003,,,0,14546,1376067
IDAHO,Idaho,ID,16049,2003,,,0,15734,1376067
JEFFERSON,Idaho,ID,16051,2003,,,0,21223,1376067
JEROME,Idaho,ID,16053,2003,,,0,19589,1376067
KOOTENAI,Idaho,ID,16055,2003,,,0,117616,1376067
LATAH,Idaho,ID,16057,2003,,,0,35621,1376067
LEMHI,Idaho,ID,16059,2003,,,0,7840,1376067
LEWIS,Idaho,ID,16061,2003,,,0,3768,1376067
LINCOLN,Idaho,ID,16063,2003,,,0,4398,1376067
MADISON,Idaho,ID,16065,2003,,,0,30509,1376067
MINIDOKA,Idaho,ID,16067,2003,,,0,20125,1376067
NEZ PERCE,Idaho,ID,16069,2003,,,0,37973,1376067
ONEIDA,Idaho,ID,16071,2003,,,0,4173,1376067
OWYHEE,Idaho,ID,16073,2003,,,0,10908,1376067
PAYETTE,Idaho,ID,16075,2003,,,0,21196,1376067
POWER,Idaho,ID,16077,2003,,,0,7626,1376067
SHOSHONE,Idaho,ID,16079,2003,,,0,13475,1376067
TETON,Idaho,ID,16081,2003,,,0,7254,1376067
TWIN FALLS,Idaho,ID,16083,2003,,,0,68168,1376067
VALLEY,Idaho,ID,16085,2003,,,0,8303,1376067
WASHINGTON,Idaho,ID,16087,2003,,,0,10049,1376067
ADA,Idaho,ID,16001,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,21,337521,1403437
ADAMS,Idaho,ID,16003,2004,,,0,3683,1403437
BANNOCK,Idaho,ID,16005,2004,,,0,78474,1403437
BEAR LAKE,Idaho,ID,16007,2004,,,0,6246,1403437
BENEWAH,Idaho,ID,16009,2004,,,0,9213,1403437
BINGHAM,Idaho,ID,16011,2004,,,0,43285,1403437
BLAINE,Idaho,ID,16013,2004,,,0,19946,1403437
BOISE,Idaho,ID,16015,2004,,,0,6796,1403437
BONNER,Idaho,ID,16017,2004,,,0,38437,1403437
BONNEVILLE,Idaho,ID,16019,2004,,,0,91245,1403437
BOUNDARY,Idaho,ID,16021,2004,,,0,10316,1403437
BUTTE,Idaho,ID,16023,2004,,,0,2897,1403437
CAMAS,Idaho,ID,16025,2004,,,0,1037,1403437
CANYON,Idaho,ID,16027,2004,,,0,154440,1403437
CARIBOU,Idaho,ID,16029,2004,,,0,7164,1403437
CASSIA,Idaho,ID,16031,2004,,,0,22023,1403437
CLARK,Idaho,ID,16033,2004,,,0,1006,1403437
CLEARWATER,Idaho,ID,16035,2004,,,0,8860,1403437
CUSTER,Idaho,ID,16037,2004,,,0,4352,1403437
ELMORE,Idaho,ID,16039,2004,,,0,28284,1403437
FRANKLIN,Idaho,ID,16041,2004,,,0,11913,1403437
FREMONT,Idaho,ID,16043,2004,,,0,12381,1403437
GEM,Idaho,ID,16045,2004,,,0,15795,1403437
GOODING,Idaho,ID,16047,2004,,,0,14678,1403437
IDAHO,Idaho,ID,16049,2004,,,0,15810,1403437
JEFFERSON,Idaho,ID,16051,2004,,,0,21925,1403437
JEROME,Idaho,ID,16053,2004,,,0,19985,1403437
KOOTENAI,Idaho,ID,16055,2004,,,0,120594,1403437
LATAH,Idaho,ID,16057,2004,,,0,35853,1403437
LEMHI,Idaho,ID,16059,2004,,,0,7854,1403437
LEWIS,Idaho,ID,16061,2004,,,0,3776,1403437
LINCOLN,Idaho,ID,16063,2004,,,0,4514,1403437
MADISON,Idaho,ID,16065,2004,,,0,31515,1403437
MINIDOKA,Idaho,ID,16067,2004,,,0,20115,1403437
NEZ PERCE,Idaho,ID,16069,2004,,,0,38158,1403437
ONEIDA,Idaho,ID,16071,2004,,,0,4189,1403437
OWYHEE,Idaho,ID,16073,2004,,,0,10996,1403437
PAYETTE,Idaho,ID,16075,2004,,,0,21400,1403437
POWER,Idaho,ID,16077,2004,,,0,7654,1403437
SHOSHONE,Idaho,ID,16079,2004,,,0,13379,1403437
TETON,Idaho,ID,16081,2004,,,0,7670,1403437
TWIN FALLS,Idaho,ID,16083,2004,,,0,69462,1403437
VALLEY,Idaho,ID,16085,2004,,,0,8525,1403437
WASHINGTON,Idaho,ID,16087,2004,,,0,10071,1403437
ADA,Idaho,ID,16001,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,20,346663,1430807
ADAMS,Idaho,ID,16003,2005,,,0,3733,1430807
BANNOCK,Idaho,ID,16005,2005,,,0,79202,1430807
BEAR LAKE,Idaho,ID,16007,2005,,,0,6203,1430807
BENEWAH,Idaho,ID,16009,2005,,,0,9224,1430807
BINGHAM,Idaho,ID,16011,2005,,,0,43672,1430807
BLAINE,Idaho,ID,16013,2005,,,0,20184,1430807
BOISE,Idaho,ID,16015,2005,,,0,6834,1430807
BONNER,Idaho,ID,16017,2005,,,0,38844,1430807
BONNEVILLE,Idaho,ID,16019,2005,,,0,93420,1430807
BOUNDARY,Idaho,ID,16021,2005,,,0,10425,1430807
BUTTE,Idaho,ID,16023,2005,,,0,2897,1430807
CAMAS,Idaho,ID,16025,2005,,,0,1051,1430807
CANYON,Idaho,ID,16027,2005,,,0,160187,1430807
CARIBOU,Idaho,ID,16029,2005,,,0,7131,1430807
CASSIA,Idaho,ID,16031,2005,,,0,22179,1430807
CLARK,Idaho,ID,16033,2005,,,0,1002,1430807
CLEARWATER,Idaho,ID,16035,2005,,,0,8843,1430807
CUSTER,Idaho,ID,16037,2005,,,0,4355,1430807
ELMORE,Idaho,ID,16039,2005,,,0,28076,1430807
FRANKLIN,Idaho,ID,16041,2005,,,0,12058,1430807
FREMONT,Idaho,ID,16043,2005,,,0,12523,1430807
GEM,Idaho,ID,16045,2005,,,0,15949,1430807
GOODING,Idaho,ID,16047,2005,,,0,14810,1430807
IDAHO,Idaho,ID,16049,2005,,,0,15886,1430807
JEFFERSON,Idaho,ID,16051,2005,,,0,22627,1430807
JEROME,Idaho,ID,16053,2005,,,0,20381,1430807
KOOTENAI,Idaho,ID,16055,2005,,,0,123572,1430807
LATAH,Idaho,ID,16057,2005,,,0,36085,1430807
LEMHI,Idaho,ID,16059,2005,,,0,7868,1430807
LEWIS,Idaho,ID,16061,2005,,,0,3784,1430807
LINCOLN,Idaho,ID,16063,2005,,,0,4630,1430807
MADISON,Idaho,ID,16065,2005,,,0,32521,1430807
MINIDOKA,Idaho,ID,16067,2005,,,0,20105,1430807
NEZ PERCE,Idaho,ID,16069,2005,,,0,38343,1430807
ONEIDA,Idaho,ID,16071,2005,,,0,4205,1430807
OWYHEE,Idaho,ID,16073,2005,,,0,11084,1430807
PAYETTE,Idaho,ID,16075,2005,,,0,21604,1430807
POWER,Idaho,ID,16077,2005,,,0,7682,1430807
SHOSHONE,Idaho,ID,16079,2005,,,0,13283,1430807
TETON,Idaho,ID,16081,2005,,,0,8086,1430807
TWIN FALLS,Idaho,ID,16083,2005,,,0,70756,1430807
VALLEY,Idaho,ID,16085,2005,,,0,8747,1430807
WASHINGTON,Idaho,ID,16087,2005,,,0,10093,1430807
ADA,Idaho,ID,16001,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,32,355805,1458177
ADAMS,Idaho,ID,16003,2006,,,0,3783,1458177
BANNOCK,Idaho,ID,16005,2006,,,0,79930,1458177
BEAR LAKE,Idaho,ID,16007,2006,,,0,6160,1458177
BENEWAH,Idaho,ID,16009,2006,,,0,9235,1458177
BINGHAM,Idaho,ID,16011,2006,,,0,44059,1458177
BLAINE,Idaho,ID,16013,2006,,,0,20422,1458177
BOISE,Idaho,ID,16015,2006,,,0,6872,1458177
BONNER,Idaho,ID,16017,2006,,,0,39251,1458177
BONNEVILLE,Idaho,ID,16019,2006,,,0,95595,1458177
BOUNDARY,Idaho,ID,16021,2006,,,0,10534,1458177
BUTTE,Idaho,ID,16023,2006,,,0,2897,1458177
CAMAS,Idaho,ID,16025,2006,,,0,1065,1458177
CANYON,Idaho,ID,16027,2006,,,0,165934,1458177
CARIBOU,Idaho,ID,16029,2006,,,0,7098,1458177
CASSIA,Idaho,ID,16031,2006,,,0,22335,1458177
CLARK,Idaho,ID,16033,2006,,,0,998,1458177
CLEARWATER,Idaho,ID,16035,2006,,,0,8826,1458177
CUSTER,Idaho,ID,16037,2006,,,0,4358,1458177
ELMORE,Idaho,ID,16039,2006,,,0,27868,1458177
FRANKLIN,Idaho,ID,16041,2006,,,0,12203,1458177
FREMONT,Idaho,ID,16043,2006,,,0,12665,1458177
GEM,Idaho,ID,16045,2006,,,0,16103,1458177
GOODING,Idaho,ID,16047,2006,,,0,14942,1458177
IDAHO,Idaho,ID,16049,2006,,,0,15962,1458177
JEFFERSON,Idaho,ID,16051,2006,,,0,23329,1458177
JEROME,Idaho,ID,16053,2006,,,0,20777,1458177
KOOTENAI,Idaho,ID,16055,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,126550,1458177
LATAH,Idaho,ID,16057,2006,,,0,36317,1458177
LEMHI,Idaho,ID,16059,2006,,,0,7882,1458177
LEWIS,Idaho,ID,16061,2006,,,0,3792,1458177
LINCOLN,Idaho,ID,16063,2006,,,0,4746,1458177
MADISON,Idaho,ID,16065,2006,,,0,33527,1458177
MINIDOKA,Idaho,ID,16067,2006,,,0,20095,1458177
NEZ PERCE,Idaho,ID,16069,2006,,,0,38528,1458177
ONEIDA,Idaho,ID,16071,2006,,,0,4221,1458177
