County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
ACADIA PARISH,Louisiana,LA,22001,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,59718,4488370
ALLEN PARISH,Louisiana,LA,22003,2003,,,0,25537,4488370
ASCENSION PARISH,Louisiana,LA,22005,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,85813,4488370
ASSUMPTION PARISH,Louisiana,LA,22007,2003,,,0,23364,4488370
AVOYELLES PARISH,Louisiana,LA,22009,2003,,,0,41672,4488370
BEAUREGARD PARISH,Louisiana,LA,22011,2003,,,0,33761,4488370
BIENVILLE PARISH,Louisiana,LA,22013,2003,,,0,15333,4488370
BOSSIER PARISH,Louisiana,LA,22015,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,104656,4488370
CADDO PARISH,Louisiana,LA,22017,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,22,252266,4488370
CALCASIEU PARISH,Louisiana,LA,22019,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,25,186357,4488370
CALDWELL PARISH,Louisiana,LA,22021,2003,,,0,10428,4488370
CAMERON PARISH,Louisiana,LA,22023,2003,,,0,9035,4488370
CATAHOULA PARISH,Louisiana,LA,22025,2003,,,0,10755,4488370
CLAIBORNE PARISH,Louisiana,LA,22027,2003,,,0,16952,4488370
CONCORDIA PARISH,Louisiana,LA,22029,2003,,,0,20401,4488370
DE SOTO PARISH,Louisiana,LA,22031,2003,,,0,25840,4488370
EAST BATON ROUGE PARISH,Louisiana,LA,22033,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,22,421080,4488370
EAST CARROLL PARISH,Louisiana,LA,22035,2003,,,0,8917,4488370
EAST FELICIANA PARISH,Louisiana,LA,22037,2003,,,0,21027,4488370
EVANGELINE PARISH,Louisiana,LA,22039,2003,,,0,35049,4488370
FRANKLIN PARISH,Louisiana,LA,22041,2003,,,0,21114,4488370
GRANT PARISH,Louisiana,LA,22043,2003,,,0,19780,4488370
IBERIA PARISH,Louisiana,LA,22045,2003,,,0,73223,4488370
IBERVILLE PARISH,Louisiana,LA,22047,2003,,,0,33343,4488370
JACKSON PARISH,Louisiana,LA,22049,2003,,,0,15666,4488370
JEFFERSON PARISH,Louisiana,LA,22051,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,86,448557,4488370
JEFFERSON DAVIS PARISH,Louisiana,LA,22053,2003,,,0,31480,4488370
LAFAYETTE PARISH,Louisiana,LA,22055,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,24,199681,4488370
LAFOURCHE PARISH,Louisiana,LA,22057,2003,,,0,91821,4488370
LA SALLE PARISH,Louisiana,LA,22059,2003,,,0,14459,4488370
LINCOLN PARISH,Louisiana,LA,22061,2003,,,0,43775,4488370
LIVINGSTON PARISH,Louisiana,LA,22063,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,23,102728,4488370
MADISON PARISH,Louisiana,LA,22065,2003,,,0,13238,4488370
MOREHOUSE PARISH,Louisiana,LA,22067,2003,,,0,30119,4488370
NATCHITOCHES PARISH,Louisiana,LA,22069,2003,,,0,39224,4488370
