County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
ADAMS,Mississippi,MS,28001,2003,,,0,33727,2881762
ALCORN,Mississippi,MS,28003,2003,,,0,35281,2881762
AMITE,Mississippi,MS,28005,2003,,,0,13433,2881762
ATTALA,Mississippi,MS,28007,2003,,,0,19627,2881762
BENTON,Mississippi,MS,28009,2003,,,0,8241,2881762
BOLIVAR,Mississippi,MS,28011,2003,,,0,38678,2881762
CALHOUN,Mississippi,MS,28013,2003,,,0,15030,2881762
CARROLL,Mississippi,MS,28015,2003,,,0,10706,2881762
CHICKASAW,Mississippi,MS,28017,2003,,,0,18829,2881762
CHOCTAW,Mississippi,MS,28019,2003,,,0,9396,2881762
CLAIBORNE,Mississippi,MS,28021,2003,,,0,11165,2881762
CLARKE,Mississippi,MS,28023,2003,,,0,17478,2881762
CLAY,Mississippi,MS,28025,2003,,,0,21579,2881762
COAHOMA,Mississippi,MS,28027,2003,,,0,29276,2881762
COPIAH,Mississippi,MS,28029,2003,,,0,28967,2881762
COVINGTON,Mississippi,MS,28031,2003,,,0,19466,2881762
DESOTO,Mississippi,MS,28033,2003,,,0,123458,2881762
FORREST,Mississippi,MS,28035,2003,,,0,72831,2881762
FRANKLIN,Mississippi,MS,28037,2003,,,0,8329,2881762
GEORGE,Mississippi,MS,28039,2003,,,0,20232,2881762
GREENE,Mississippi,MS,28041,2003,,,0,13620,2881762
GRENADA,Mississippi,MS,28043,2003,,,0,22862,2881762
HANCOCK,Mississippi,MS,28045,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,43266,2881762
HARRISON,Mississippi,MS,28047,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,29,188836,2881762
HINDS,Mississippi,MS,28049,2003,,,0,249135,2881762
HOLMES,Mississippi,MS,28051,2003,,,0,20972,2881762
HUMPHREYS,Mississippi,MS,28053,2003,,,0,10645,2881762
ISSAQUENA,Mississippi,MS,28055,2003,,,0,2010,2881762
ITAWAMBA,Mississippi,MS,28057,2003,,,0,22963,2881762
JACKSON,Mississippi,MS,28059,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,23,133908,2881762
JASPER,Mississippi,MS,28061,2003,,,0,17824,2881762
JEFFERSON,Mississippi,MS,28063,2003,,,0,9126,2881762
JEFFERSON DAVIS,Mississippi,MS,28065,2003,,,0,13513,2881762
JONES,Mississippi,MS,28067,2003,,,0,65798,2881762
KEMPER,Mississippi,MS,28069,2003,,,0,10447,2881762
LAFAYETTE,Mississippi,MS,28071,2003,,,0,41288,2881762
LAMAR,Mississippi,MS,28073,2003,,,0,44614,2881762
LAUDERDALE,Mississippi,MS,28075,2003,,,0,78798,2881762
LAWRENCE,Mississippi,MS,28077,2003,,,0,13120,2881762
LEAKE,Mississippi,MS,28079,2003,,,0,21791,2881762
LEE,Mississippi,MS,28081,2003,,,0,77839,2881762
LEFLORE,Mississippi,MS,28083,2003,,,0,36280,2881762
LINCOLN,Mississippi,MS,28085,2003,,,0,33695,2881762
LOWNDES,Mississippi,MS,28087,2003,,,0,61050,2881762
MADISON,Mississippi,MS,28089,2003,,,0,80858,2881762
MARION,Mississippi,MS,28091,2003,,,0,26064,2881762
MARSHALL,Mississippi,MS,28093,2003,,,0,35607,2881762
MONROE,Mississippi,MS,28095,2003,,,0,37693,2881762
MONTGOMERY,Mississippi,MS,28097,2003,,,0,11813,2881762
NESHOBA,Mississippi,MS,28099,2003,,,0,28978,2881762
