County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
BEAVERHEAD,Montana,MT,30001,2003,,,0,9207,928363
BIG HORN,Montana,MT,30003,2003,,,0,12733,928363
BLAINE,Montana,MT,30005,2003,,,0,6853,928363
BROADWATER,Montana,MT,30007,2003,,,0,4749,928363
CARBON,Montana,MT,30009,2003,,,0,9704,928363
CARTER,Montana,MT,30011,2003,,,0,1298,928363
CASCADE,Montana,MT,30013,2003,,,0,80647,928363
CHOUTEAU,Montana,MT,30015,2003,,,0,5917,928363
CUSTER,Montana,MT,30017,2003,,,0,11694,928363
DANIELS,Montana,MT,30019,2003,,,0,1936,928363
DAWSON,Montana,MT,30021,2003,,,0,9029,928363
DEER LODGE,Montana,MT,30023,2003,,,0,9380,928363
FALLON,Montana,MT,30025,2003,,,0,2853,928363
FERGUS,Montana,MT,30027,2003,,,0,11812,928363
FLATHEAD,Montana,MT,30029,2003,,,0,79433,928363
GALLATIN,Montana,MT,30031,2003,,,0,74341,928363
GARFIELD,Montana,MT,30033,2003,,,0,1258,928363
GLACIER,Montana,MT,30035,2003,,,0,13288,928363
GOLDEN VALLEY,Montana,MT,30037,2003,,,0,992,928363
GRANITE,Montana,MT,30039,2003,,,0,2913,928363
HILL,Montana,MT,30041,2003,,,0,16497,928363
JEFFERSON,Montana,MT,30043,2003,,,0,10445,928363
JUDITH BASIN,Montana,MT,30045,2003,,,0,2251,928363
LAKE,Montana,MT,30047,2003,,,0,27160,928363
LEWIS AND CLARK,Montana,MT,30049,2003,,,0,58020,928363
LIBERTY,Montana,MT,30051,2003,,,0,2212,928363
LINCOLN,Montana,MT,30053,2003,,,0,19078,928363
MCCONE,Montana,MT,30055,2003,,,0,1899,928363
MADISON,Montana,MT,30057,2003,,,0,7100,928363
MEAGHER,Montana,MT,30059,2003,,,0,1916,928363
MINERAL,Montana,MT,30061,2003,,,0,3979,928363
MISSOULA,Montana,MT,30063,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,99850,928363
MUSSELSHELL,Montana,MT,30065,2003,,,0,4507,928363
PARK,Montana,MT,30067,2003,,,0,15676,928363
PETROLEUM,Montana,MT,30069,2003,,,0,493,928363
PHILLIPS,Montana,MT,30071,2003,,,0,4496,928363
PONDERA,Montana,MT,30073,2003,,,0,6344,928363
POWDER RIVER,Montana,MT,30075,2003,,,0,1822,928363
POWELL,Montana,MT,30077,2003,,,0,7140,928363
