County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
CHURCHILL,Nevada,NV,32001,2003,,,0,24251,2208979
CLARK,Nevada,NV,32003,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,206,1548400,2208979
CLARK,Nevada,NV,32003,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,41,1548400,2208979
DOUGLAS,Nevada,NV,32005,2003,,,0,42970,2208979
ELKO,Nevada,NV,32007,2003,,,0,46385,2208979
ESMERALDA,Nevada,NV,32009,2003,,,0,914,2208979
EUREKA,Nevada,NV,32011,2003,,,0,1753,2208979
HUMBOLDT,Nevada,NV,32013,2003,,,0,16213,2208979
LANDER,Nevada,NV,32015,2003,,,0,5784,2208979
LINCOLN,Nevada,NV,32017,2003,,,0,4516,2208979
LYON,Nevada,NV,32019,2003,,,0,39747,2208979
MINERAL,Nevada,NV,32021,2003,,,0,4980,2208979
NYE,Nevada,NV,32023,2003,,,0,35948,2208979
PERSHING,Nevada,NV,32027,2003,,,0,6723,2208979
STOREY,Nevada,NV,32029,2003,,,0,3591,2208979
WASHOE,Nevada,NV,32031,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,36,364058,2208979
WASHOE,Nevada,NV,32031,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,13,364058,2208979
WASHOE,Nevada,NV,32031,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10,364058,2208979
WHITE PINE,Nevada,NV,32033,2003,,,0,9429,2208979
CARSON CITY,Nevada,NV,32510,2003,,,0,53317,2208979
CHURCHILL,Nevada,NV,32001,2004,,,0,24340,2279222
CLARK,Nevada,NV,32003,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,239,1605953,2279222
CLARK,Nevada,NV,32003,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,41,1605953,2279222
DOUGLAS,Nevada,NV,32005,2004,,,0,43545,2279222
ELKO,Nevada,NV,32007,2004,,,0,46751,2279222
ESMERALDA,Nevada,NV,32009,2004,,,0,895,2279222
EUREKA,Nevada,NV,32011,2004,,,0,1787,2279222
HUMBOLDT,Nevada,NV,32013,2004,,,0,16257,2279222
LANDER,Nevada,NV,32015,2004,,,0,5782,2279222
LINCOLN,Nevada,NV,32017,2004,,,0,4633,2279222
LYON,Nevada,NV,32019,2004,,,0,41495,2279222
MINERAL,Nevada,NV,32021,2004,,,0,4950,2279222
NYE,Nevada,NV,32023,2004,,,0,37090,2279222
PERSHING,Nevada,NV,32027,2004,,,0,6727,2279222
STOREY,Nevada,NV,32029,2004,,,0,3652,2279222
WASHOE,Nevada,NV,32031,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,35,372253,2279222
WASHOE,Nevada,NV,32031,2004,Drug poisonings (overdose) Suicide (X60-X64),D2,10,372253,2279222
WHITE PINE,Nevada,NV,32033,2004,,,0,9515,2279222
CARSON CITY,Nevada,NV,32510,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,53597,2279222
CHURCHILL,Nevada,NV,32001,2005,,,0,24429,2349465
CLARK,Nevada,NV,32003,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,276,1663506,2349465
CLARK,Nevada,NV,32003,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,60,1663506,2349465
DOUGLAS,Nevada,NV,32005,2005,,,0,44120,2349465
ELKO,Nevada,NV,32007,2005,,,0,47117,2349465
ESMERALDA,Nevada,NV,32009,2005,,,0,876,2349465
EUREKA,Nevada,NV,32011,2005,,,0,1821,2349465
HUMBOLDT,Nevada,NV,32013,2005,,,0,16301,2349465
LANDER,Nevada,NV,32015,2005,,,0,5780,2349465
LINCOLN,Nevada,NV,32017,2005,,,0,4750,2349465
LYON,Nevada,NV,32019,2005,,,0,43243,2349465
MINERAL,Nevada,NV,32021,2005,,,0,4920,2349465
NYE,Nevada,NV,32023,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,38232,2349465
PERSHING,Nevada,NV,32027,2005,,,0,6731,2349465
STOREY,Nevada,NV,32029,2005,,,0,3713,2349465
WASHOE,Nevada,NV,32031,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,37,380448,2349465
WASHOE,Nevada,NV,32031,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,22,380448,2349465
WASHOE,Nevada,NV,32031,2005,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10,380448,2349465
WHITE PINE,Nevada,NV,32033,2005,,,0,9601,2349465
CARSON CITY,Nevada,NV,32510,2005,,,0,53877,2349465
CHURCHILL,Nevada,NV,32001,2006,,,0,24518,2419708
CLARK,Nevada,NV,32003,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,285,1721059,2419708
CLARK,Nevada,NV,32003,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,51,1721059,2419708
DOUGLAS,Nevada,NV,32005,2006,,,0,44695,2419708
ELKO,Nevada,NV,32007,2006,,,0,47483,2419708
ESMERALDA,Nevada,NV,32009,2006,,,0,857,2419708
EUREKA,Nevada,NV,32011,2006,,,0,1855,2419708
HUMBOLDT,Nevada,NV,32013,2006,,,0,16345,2419708
LANDER,Nevada,NV,32015,2006,,,0,5778,2419708
LINCOLN,Nevada,NV,32017,2006,,,0,4867,2419708
LYON,Nevada,NV,32019,2006,,,0,44991,2419708
MINERAL,Nevada,NV,32021,2006,,,0,4890,2419708
NYE,Nevada,NV,32023,2006,,,0,39374,2419708
PERSHING,Nevada,NV,32027,2006,,,0,6735,2419708
STOREY,Nevada,NV,32029,2006,,,0,3774,2419708
WASHOE,Nevada,NV,32031,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,36,388643,2419708
WASHOE,Nevada,NV,32031,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,20,388643,2419708
WHITE PINE,Nevada,NV,32033,2006,,,0,9687,2419708
CARSON CITY,Nevada,NV,32510,2006,,,0,54157,2419708
CHURCHILL,Nevada,NV,32001,2007,,,0,24607,2489951
CLARK,Nevada,NV,32003,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,306,1778612,2489951
CLARK,Nevada,NV,32003,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,68,1778612,2489951
DOUGLAS,Nevada,NV,32005,2007,,,0,45270,2489951
ELKO,Nevada,NV,32007,2007,,,0,47849,2489951
ESMERALDA,Nevada,NV,32009,2007,,,0,838,2489951
EUREKA,Nevada,NV,32011,2007,,,0,1889,2489951
HUMBOLDT,Nevada,NV,32013,2007,,,0,16389,2489951
LANDER,Nevada,NV,32015,2007,,,0,5776,2489951
LINCOLN,Nevada,NV,32017,2007,,,0,4984,2489951
LYON,Nevada,NV,32019,2007,,,0,46739,2489951
MINERAL,Nevada,NV,32021,2007,,,0,4860,2489951
NYE,Nevada,NV,32023,2007,,,0,40516,2489951
PERSHING,Nevada,NV,32027,2007,,,0,6739,2489951
STOREY,Nevada,NV,32029,2007,,,0,3835,2489951
WASHOE,Nevada,NV,32031,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,63,396838,2489951
WASHOE,Nevada,NV,32031,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,13,396838,2489951
WHITE PINE,Nevada,NV,32033,2007,,,0,9773,2489951
CARSON CITY,Nevada,NV,32510,2007,,,0,54437,2489951
CHURCHILL,Nevada,NV,32001,2008,,,0,24696,2560194
CLARK,Nevada,NV,32003,2008,Drug poisonings (overdose) Unintentional (X40-X44),D1,289,1836165,2560194
CLARK,Nevada,NV,32003,2008,Drug poisonings (overdose) Suicide (X60-X64),D2,70,1836165,2560194
DOUGLAS,Nevada,NV,32005,2008,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,45845,2560194
ELKO,Nevada,NV,32007,2008,,,0,48215,2560194
ESMERALDA,Nevada,NV,32009,2008,,,0,819,2560194
EUREKA,Nevada,NV,32011,2008,,,0,1923,2560194
HUMBOLDT,Nevada,NV,32013,2008,,,0,16433,2560194
LANDER,Nevada,NV,32015,2008,,,0,5774,2560194
LINCOLN,Nevada,NV,32017,2008,,,0,5101,2560194
LYON,Nevada,NV,32019,2008,,,0,48487,2560194
