County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
ADAIR,Oklahoma,OK,40001,2003,,,0,21510,3540790
ALFALFA,Oklahoma,OK,40003,2003,,,0,5957,3540790
ATOKA,Oklahoma,OK,40005,2003,,,0,13963,3540790
BEAVER,Oklahoma,OK,40007,2003,,,0,5772,3540790
BECKHAM,Oklahoma,OK,40009,2003,,,0,20500,3540790
BLAINE,Oklahoma,OK,40011,2003,,,0,11959,3540790
BRYAN,Oklahoma,OK,40013,2003,,,0,38291,3540790
CADDO,Oklahoma,OK,40015,2003,,,0,29981,3540790
CANADIAN,Oklahoma,OK,40017,2003,,,0,96072,3540790
CARTER,Oklahoma,OK,40019,2003,,,0,46250,3540790
CHEROKEE,Oklahoma,OK,40021,2003,,,0,43828,3540790
CHOCTAW,Oklahoma,OK,40023,2003,,,0,15292,3540790
CIMARRON,Oklahoma,OK,40025,2003,,,0,2941,3540790
CLEVELAND,Oklahoma,OK,40027,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,222427,3540790
COAL,Oklahoma,OK,40029,2003,,,0,6002,3540790
COMANCHE,Oklahoma,OK,40031,2003,,,0,117726,3540790
COTTON,Oklahoma,OK,40033,2003,,,0,6480,3540790
CRAIG,Oklahoma,OK,40035,2003,,,0,14972,3540790
CREEK,Oklahoma,OK,40037,2003,,,0,68129,3540790
CUSTER,Oklahoma,OK,40039,2003,,,0,26543,3540790
DELAWARE,Oklahoma,OK,40041,2003,,,0,38311,3540790
DEWEY,Oklahoma,OK,40043,2003,,,0,4761,3540790
ELLIS,Oklahoma,OK,40045,2003,,,0,4090,3540790
GARFIELD,Oklahoma,OK,40047,2003,,,0,58642,3540790
GARVIN,Oklahoma,OK,40049,2003,,,0,27324,3540790
GRADY,Oklahoma,OK,40051,2003,,,0,47561,3540790
GRANT,Oklahoma,OK,40053,2003,,,0,4961,3540790
GREER,Oklahoma,OK,40055,2003,,,0,6115,3540790
HARMON,Oklahoma,OK,40057,2003,,,0,3177,3540790
HARPER,Oklahoma,OK,40059,2003,,,0,3597,3540790
HASKELL,Oklahoma,OK,40061,2003,,,0,12075,3540790
HUGHES,Oklahoma,OK,40063,2003,,,0,14105,3540790
JACKSON,Oklahoma,OK,40065,2003,,,0,27842,3540790
JEFFERSON,Oklahoma,OK,40067,2003,,,0,6715,3540790
JOHNSTON,Oklahoma,OK,40069,2003,,,0,10644,3540790
KAY,Oklahoma,OK,40071,2003,,,0,47630,3540790
KINGFISHER,Oklahoma,OK,40073,2003,,,0,14259,3540790
KIOWA,Oklahoma,OK,40075,2003,,,0,9991,3540790
LATIMER,Oklahoma,OK,40077,2003,,,0,10827,3540790
LE FLORE,Oklahoma,OK,40079,2003,,,0,48783,3540790
LINCOLN,Oklahoma,OK,40081,2003,,,0,32730,3540790
LOGAN,Oklahoma,OK,40083,2003,,,0,36293,3540790
LOVE,Oklahoma,OK,40085,2003,,,0,9003,3540790
MCCLAIN,Oklahoma,OK,40087,2003,,,0,29778,3540790
MCCURTAIN,Oklahoma,OK,40089,2003,,,0,34015,3540790
MCINTOSH,Oklahoma,OK,40091,2003,,,0,19660,3540790
MAJOR,Oklahoma,OK,40093,2003,,,0,7539,3540790
MARSHALL,Oklahoma,OK,40095,2003,,,0,13941,3540790
MAYES,Oklahoma,OK,40097,2003,,,0,39215,3540790
MURRAY,Oklahoma,OK,40099,2003,,,0,12878,3540790
MUSKOGEE,Oklahoma,OK,40101,2003,,,0,69927,3540790
NOBLE,Oklahoma,OK,40103,2003,,,0,11454,3540790
NOWATA,Oklahoma,OK,40105,2003,,,0,10555,3540790
OKFUSKEE,Oklahoma,OK,40107,2003,,,0,11922,3540790
