County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
BAKER,Oregon,OR,41001,2003,,,0,16559,3544389
BENTON,Oregon,OR,41003,2003,,,0,80375,3544389
CLACKAMAS,Oregon,OR,41005,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,349684,3544389
CLATSOP,Oregon,OR,41007,2003,,,0,36051,3544389
COLUMBIA,Oregon,OR,41009,2003,,,0,45293,3544389
COOS,Oregon,OR,41011,2003,,,0,62873,3544389
CROOK,Oregon,OR,41013,2003,,,0,19715,3544389
CURRY,Oregon,OR,41015,2003,,,0,21513,3544389
DESCHUTES,Oregon,OR,41017,2003,,,0,128080,3544389
DOUGLAS,Oregon,OR,41019,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,102568,3544389
GILLIAM,Oregon,OR,41021,2003,,,0,1898,3544389
GRANT,Oregon,OR,41023,2003,,,0,7787,3544389
HARNEY,Oregon,OR,41025,2003,,,0,7552,3544389
HOOD RIVER,Oregon,OR,41027,2003,,,0,20989,3544389
JACKSON,Oregon,OR,41029,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,187857,3544389
JEFFERSON,Oregon,OR,41031,2003,,,0,19814,3544389
JOSEPHINE,Oregon,OR,41033,2003,,,0,77826,3544389
KLAMATH,Oregon,OR,41035,2003,,,0,64554,3544389
LAKE,Oregon,OR,41037,2003,,,0,7559,3544389
LANE,Oregon,OR,41039,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,331618,3544389
LINCOLN,Oregon,OR,41041,2003,,,0,44946,3544389
LINN,Oregon,OR,41043,2003,,,0,107159,3544389
MALHEUR,Oregon,OR,41045,2003,,,0,31528,3544389
MARION,Oregon,OR,41047,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,293994,3544389
MORROW,Oregon,OR,41049,2003,,,0,11049,3544389
MULTNOMAH,Oregon,OR,41051,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,70,682967,3544389
MULTNOMAH,Oregon,OR,41051,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,18,682967,3544389
MULTNOMAH,Oregon,OR,41051,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,11,682967,3544389
POLK,Oregon,OR,41053,2003,,,0,66312,3544389
SHERMAN,Oregon,OR,41055,2003,,,0,1883,3544389
TILLAMOOK,Oregon,OR,41057,2003,,,0,24561,3544389
UMATILLA,Oregon,OR,41059,2003,,,0,72155,3544389
UNION,Oregon,OR,41061,2003,,,0,24888,3544389
WALLOWA,Oregon,OR,41063,2003,,,0,7164,3544389
WASCO,Oregon,OR,41065,2003,,,0,24220,3544389
WASHINGTON,Oregon,OR,41067,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,470636,3544389
WHEELER,Oregon,OR,41069,2003,,,0,1518,3544389
YAMHILL,Oregon,OR,41071,2003,,,0,89244,3544389
BAKER,Oregon,OR,41001,2004,,,0,16498,3585344
BENTON,Oregon,OR,41003,2004,,,0,81119,3585344
CLACKAMAS,Oregon,OR,41005,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,353443,3585344
CLATSOP,Oregon,OR,41007,2004,,,0,36190,3585344
COLUMBIA,Oregon,OR,41009,2004,,,0,45873,3585344
