,fips,County,Year,Citizens,State
1,12001,Alachua County,2006,235587,Florida
2,12003,Baker County,2006,25171,Florida
3,12005,Bay County,2006,160619,Florida
4,12007,Bradford County,2006,27550,Florida
5,12009,Brevard County,2006,516542,Florida
6,12011,Broward County,2006,1698077,Florida
7,12013,Calhoun County,2006,13975,Florida
8,12015,Charlotte County,2006,152626,Florida
9,12017,Citrus County,2006,131979,Florida
10,12019,Clay County,2006,170834,Florida
11,12021,Collier County,2006,293477,Florida
12,12023,Columbia County,2006,63080,Florida
13,12027,DeSoto County,2006,33798,Florida
14,12029,Dixie County,2006,15356,Florida
15,12031,Duval County,2006,830118,Florida
16,12033,Escambia County,2006,296338,Florida
17,12035,Flagler County,2006,77349,Florida
18,12037,Franklin County,2006,10860,Florida
19,12039,Gadsden County,2006,46653,Florida
20,12041,Gilchrist County,2006,15936,Florida
21,12043,Glades County,2006,11941,Florida
22,12045,Gulf County,2006,15335,Florida
23,12047,Hamilton County,2006,14207,Florida
24,12049,Hardee County,2006,27380,Florida
25,12051,Hendry County,2006,37959,Florida
26,12053,Hernando County,2006,155984,Florida
27,12055,Highlands County,2006,94228,Florida
28,12057,Hillsborough County,2006,1137104,Florida
29,12059,Holmes County,2006,19380,Florida
30,12061,Indian River County,2006,127967,Florida
31,12063,Jackson County,2006,48569,Florida
32,12065,Jefferson County,2006,14005,Florida
33,12067,Lafayette County,2006,8129,Florida
34,12069,Lake County,2006,262398,Florida
35,12071,Lee County,2006,547616,Florida
36,12073,Leon County,2006,261094,Florida
37,12075,Levy County,2006,38259,Florida
38,12077,Liberty County,2006,7823,Florida
39,12079,Madison County,2006,19026,Florida
40,12081,Manatee County,2006,299325,Florida
41,12083,Marion County,2006,302328,Florida
42,12085,Martin County,2006,138822,Florida
43,12086,Miami-Dade County,2006,2400325,Florida
44,12087,Monroe County,2006,75694,Florida
45,12089,Nassau County,2006,67044,Florida
46,12091,Okaloosa County,2006,176703,Florida
47,12093,Okeechobee County,2006,38345,Florida
48,12095,Orange County,2006,1046021,Florida
49,12097,Osceola County,2006,230217,Florida
50,12099,Palm Beach County,2006,1244556,Florida
51,12101,Pasco County,2006,416721,Florida
52,12103,Pinellas County,2006,918682,Florida
53,12105,Polk County,2006,554814,Florida
54,12107,Putnam County,2006,72788,Florida
55,12109,St. Johns County,2006,163315,Florida
56,12111,St. Lucie County,2006,243424,Florida
57,12113,Santa Rosa County,2006,137923,Florida
58,12115,Sarasota County,2006,358061,Florida
59,12117,Seminole County,2006,399807,Florida
60,12119,Sumter County,2006,77386,Florida
61,12121,Suwannee County,2006,38885,Florida
62,12123,Taylor County,2006,21243,Florida
63,12125,Union County,2006,14692,Florida
64,12127,Volusia County,2006,474111,Florida
65,12129,Wakulla County,2006,27612,Florida
66,12131,Walton County,2006,49250,Florida
67,12133,Washington County,2006,23327,Florida
69,48001,Anderson County,2006,57121,Texas
70,48003,Andrews County,2006,14072,Texas
71,48005,Angelina County,2006,84111,Texas
72,48007,Aransas County,2006,22877,Texas
73,48009,Archer County,2006,8994,Texas
74,48011,Armstrong County,2006,2001,Texas
75,48013,Atascosa County,2006,42372,Texas
76,48015,Austin County,2006,26481,Texas
77,48017,Bailey County,2006,6936,Texas
