County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
ABBEVILLE,South Carolina,SC,45001,2003,,,0,25928,4196031
AIKEN,South Carolina,SC,45003,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,147824,4196031
ALLENDALE,South Carolina,SC,45005,2003,,,0,10965,4196031
ANDERSON,South Carolina,SC,45007,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,172097,4196031
BAMBERG,South Carolina,SC,45009,2003,,,0,16485,4196031
BARNWELL,South Carolina,SC,45011,2003,,,0,23230,4196031
BEAUFORT,South Carolina,SC,45013,2003,,,0,133321,4196031
BERKELEY,South Carolina,SC,45015,2003,,,0,153418,4196031
CALHOUN,South Carolina,SC,45017,2003,,,0,15144,4196031
CHARLESTON,South Carolina,SC,45019,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,321990,4196031
CHEROKEE,South Carolina,SC,45021,2003,,,0,53420,4196031
CHESTER,South Carolina,SC,45023,2003,,,0,33824,4196031
CHESTERFIELD,South Carolina,SC,45025,2003,,,0,43953,4196031
CLARENDON,South Carolina,SC,45027,2003,,,0,33207,4196031
COLLETON,South Carolina,SC,45029,2003,,,0,38448,4196031
DARLINGTON,South Carolina,SC,45031,2003,,,0,67792,4196031
DILLON,South Carolina,SC,45033,2003,,,0,31131,4196031
DORCHESTER,South Carolina,SC,45035,2003,,,0,108299,4196031
EDGEFIELD,South Carolina,SC,45037,2003,,,0,25305,4196031
FAIRFIELD,South Carolina,SC,45039,2003,,,0,23559,4196031
FLORENCE,South Carolina,SC,45041,2003,,,0,129084,4196031
GEORGETOWN,South Carolina,SC,45043,2003,,,0,57173,4196031
GREENVILLE,South Carolina,SC,45045,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,32,401110,4196031
GREENWOOD,South Carolina,SC,45047,2003,,,0,67329,4196031
HAMPTON,South Carolina,SC,45049,2003,,,0,21289,4196031
HORRY,South Carolina,SC,45051,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,36,218329,4196031
JASPER,South Carolina,SC,45053,2003,,,0,21905,4196031
KERSHAW,South Carolina,SC,45055,2003,,,0,55331,4196031
LANCASTER,South Carolina,SC,45057,2003,,,0,65979,4196031
LAURENS,South Carolina,SC,45059,2003,,,0,68546,4196031
LEE,South Carolina,SC,45061,2003,,,0,19825,4196031
LEXINGTON,South Carolina,SC,45063,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,229951,4196031
MCCORMICK,South Carolina,SC,45065,2003,,,0,10024,4196031
MARION,South Carolina,SC,45067,2003,,,0,34752,4196031
MARLBORO,South Carolina,SC,45069,2003,,,0,28856,4196031
NEWBERRY,South Carolina,SC,45071,2003,,,0,36438,4196031
OCONEE,South Carolina,SC,45073,2003,,,0,68623,4196031
ORANGEBURG,South Carolina,SC,45075,2003,,,0,91811,4196031
PICKENS,South Carolina,SC,45077,2003,,,0,113341,4196031
RICHLAND,South Carolina,SC,45079,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,26,339919,4196031
SALUDA,South Carolina,SC,45081,2003,,,0,19387,4196031
SPARTANBURG,South Carolina,SC,45083,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,21,263065,4196031
SUMTER,South Carolina,SC,45085,2003,,,0,105527,4196031
UNION,South Carolina,SC,45087,2003,,,0,29648,4196031
WILLIAMSBURG,South Carolina,SC,45089,2003,,,0,36379,4196031
YORK,South Carolina,SC,45091,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,183073,4196031
ABBEVILLE,South Carolina,SC,45001,2004,,,0,25853,4257367
AIKEN,South Carolina,SC,45003,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,149580,4257367
ALLENDALE,South Carolina,SC,45005,2004,,,0,10887,4257367
ANDERSON,South Carolina,SC,45007,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,174218,4257367
BAMBERG,South Carolina,SC,45009,2004,,,0,16412,4257367
BARNWELL,South Carolina,SC,45011,2004,,,0,23143,4257367
BEAUFORT,South Carolina,SC,45013,2004,,,0,137451,4257367
BERKELEY,South Carolina,SC,45015,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,156975,4257367
CALHOUN,South Carolina,SC,45017,2004,,,0,15148,4257367
CHARLESTON,South Carolina,SC,45019,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,28,326013,4257367
CHEROKEE,South Carolina,SC,45021,2004,,,0,53716,4257367
CHESTER,South Carolina,SC,45023,2004,,,0,33728,4257367
CHESTERFIELD,South Carolina,SC,45025,2004,,,0,44349,4257367
CLARENDON,South Carolina,SC,45027,2004,,,0,33456,4257367
COLLETON,South Carolina,SC,45029,2004,,,0,38511,4257367
DARLINGTON,South Carolina,SC,45031,2004,,,0,67908,4257367
DILLON,South Carolina,SC,45033,2004,,,0,31263,4257367
DORCHESTER,South Carolina,SC,45035,2004,,,0,112281,4257367
EDGEFIELD,South Carolina,SC,45037,2004,,,0,25544,4257367
FAIRFIELD,South Carolina,SC,45039,2004,,,0,23616,4257367
FLORENCE,South Carolina,SC,45041,2004,,,0,130209,4257367
GEORGETOWN,South Carolina,SC,45043,2004,,,0,57623,4257367
GREENVILLE,South Carolina,SC,45045,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,28,408264,4257367
GREENWOOD,South Carolina,SC,45047,2004,,,0,67669,4257367
HAMPTON,South Carolina,SC,45049,2004,,,0,21261,4257367
HORRY,South Carolina,SC,45051,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,27,225586,4257367
JASPER,South Carolina,SC,45053,2004,,,0,22316,4257367
KERSHAW,South Carolina,SC,45055,2004,,,0,56225,4257367
LANCASTER,South Carolina,SC,45057,2004,,,0,67504,4257367
LAURENS,South Carolina,SC,45059,2004,,,0,68259,4257367
LEE,South Carolina,SC,45061,2004,,,0,19737,4257367
LEXINGTON,South Carolina,SC,45063,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,234591,4257367
MCCORMICK,South Carolina,SC,45065,2004,,,0,10054,4257367
MARION,South Carolina,SC,45067,2004,,,0,34511,4257367
MARLBORO,South Carolina,SC,45069,2004,,,0,28868,4257367
NEWBERRY,South Carolina,SC,45071,2004,,,0,36591,4257367
OCONEE,South Carolina,SC,45073,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,69431,4257367
ORANGEBURG,South Carolina,SC,45075,2004,,,0,91911,4257367
PICKENS,South Carolina,SC,45077,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,114203,4257367
RICHLAND,South Carolina,SC,45079,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,346280,4257367
SALUDA,South Carolina,SC,45081,2004,,,0,19456,4257367
SPARTANBURG,South Carolina,SC,45083,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,38,266101,4257367
SUMTER,South Carolina,SC,45085,2004,,,0,105807,4257367
UNION,South Carolina,SC,45087,2004,,,0,29551,4257367
WILLIAMSBURG,South Carolina,SC,45089,2004,,,0,36099,4257367
YORK,South Carolina,SC,45091,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,189212,4257367
ABBEVILLE,South Carolina,SC,45001,2005,,,0,25778,4318703
AIKEN,South Carolina,SC,45003,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,151336,4318703
ALLENDALE,South Carolina,SC,45005,2005,,,0,10809,4318703
ANDERSON,South Carolina,SC,45007,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,176339,4318703
BAMBERG,South Carolina,SC,45009,2005,,,0,16339,4318703
BARNWELL,South Carolina,SC,45011,2005,,,0,23056,4318703
BEAUFORT,South Carolina,SC,45013,2005,,,0,141581,4318703
BERKELEY,South Carolina,SC,45015,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,160532,4318703
CALHOUN,South Carolina,SC,45017,2005,,,0,15152,4318703
CHARLESTON,South Carolina,SC,45019,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,24,330036,4318703
CHEROKEE,South Carolina,SC,45021,2005,,,0,54012,4318703
CHESTER,South Carolina,SC,45023,2005,,,0,33632,4318703
CHESTERFIELD,South Carolina,SC,45025,2005,,,0,44745,4318703
CLARENDON,South Carolina,SC,45027,2005,,,0,33705,4318703
COLLETON,South Carolina,SC,45029,2005,,,0,38574,4318703
DARLINGTON,South Carolina,SC,45031,2005,,,0,68024,4318703
DILLON,South Carolina,SC,45033,2005,,,0,31395,4318703
DORCHESTER,South Carolina,SC,45035,2005,,,0,116263,4318703
EDGEFIELD,South Carolina,SC,45037,2005,,,0,25783,4318703
FAIRFIELD,South Carolina,SC,45039,2005,,,0,23673,4318703
FLORENCE,South Carolina,SC,45041,2005,,,0,131334,4318703
GEORGETOWN,South Carolina,SC,45043,2005,,,0,58073,4318703
GREENVILLE,South Carolina,SC,45045,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,47,415418,4318703
GREENVILLE,South Carolina,SC,45045,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,16,415418,4318703
GREENWOOD,South Carolina,SC,45047,2005,,,0,68009,4318703
HAMPTON,South Carolina,SC,45049,2005,,,0,21233,4318703
HORRY,South Carolina,SC,45051,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,28,232843,4318703
JASPER,South Carolina,SC,45053,2005,,,0,22727,4318703
KERSHAW,South Carolina,SC,45055,2005,,,0,57119,4318703
LANCASTER,South Carolina,SC,45057,2005,,,0,69029,4318703
LAURENS,South Carolina,SC,45059,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,67972,4318703
LEE,South Carolina,SC,45061,2005,,,0,19649,4318703
LEXINGTON,South Carolina,SC,45063,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,239231,4318703
MCCORMICK,South Carolina,SC,45065,2005,,,0,10084,4318703
MARION,South Carolina,SC,45067,2005,,,0,34270,4318703
MARLBORO,South Carolina,SC,45069,2005,,,0,28880,4318703
NEWBERRY,South Carolina,SC,45071,2005,,,0,36744,4318703
OCONEE,South Carolina,SC,45073,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,70239,4318703
ORANGEBURG,South Carolina,SC,45075,2005,,,0,92011,4318703
PICKENS,South Carolina,SC,45077,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,115065,4318703
