County Name,State,State Abbreviation,County Code,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
ANDERSON,Tennessee,TN,47001,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,72556,5886485
BLOUNT,Tennessee,TN,47009,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,111005,5886485
DAVIDSON,Tennessee,TN,47037,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,62,586916,5886485
DAVIDSON,Tennessee,TN,47037,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,10,586916,5886485
HAMILTON,Tennessee,TN,47065,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,316626,5886485
HAMILTON,Tennessee,TN,47065,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,13,316626,5886485
KNOX,Tennessee,TN,47093,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,54,396998,5886485
KNOX,Tennessee,TN,47093,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,20,396998,5886485
RUTHERFORD,Tennessee,TN,47149,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,206194,5886485
SHELBY,Tennessee,TN,47157,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,37,906532,5886485
SUMNER,Tennessee,TN,47165,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,139561,5886485
WILSON,Tennessee,TN,47189,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,96378,5886485
BLOUNT,Tennessee,TN,47009,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,112732,5952171
DAVIDSON,Tennessee,TN,47037,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,81,592579,5952171
GREENE,Tennessee,TN,47059,2004,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,11,65275,5952171
HAMILTON,Tennessee,TN,47065,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,319463,5952171
KNOX,Tennessee,TN,47093,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,66,402036,5952171
KNOX,Tennessee,TN,47093,2004,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,19,402036,5952171
PUTNAM,Tennessee,TN,47141,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,66327,5952171
ROANE,Tennessee,TN,47145,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,52833,5952171
RUTHERFORD,Tennessee,TN,47149,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,214249,5952171
SEVIER,Tennessee,TN,47155,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,78608,5952171
SHELBY,Tennessee,TN,47157,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,57,909554,5952171
SULLIVAN,Tennessee,TN,47163,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,154573,5952171
SULLIVAN,Tennessee,TN,47163,2004,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,12,154573,5952171
WILLIAMSON,Tennessee,TN,47187,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,149297,5952171
WILSON,Tennessee,TN,47189,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,98906,5952171
ANDERSON,Tennessee,TN,47001,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,73280,6017857
BLOUNT,Tennessee,TN,47009,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,114459,6017857
DAVIDSON,Tennessee,TN,47037,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,76,598242,6017857
DAVIDSON,Tennessee,TN,47037,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,12,598242,6017857
HAMILTON,Tennessee,TN,47065,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,27,322300,6017857
JEFFERSON,Tennessee,TN,47089,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,47988,6017857
KNOX,Tennessee,TN,47093,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,61,407074,6017857
KNOX,Tennessee,TN,47093,2005,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,24,407074,6017857
MONTGOMERY,Tennessee,TN,47125,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,153545,6017857
ROANE,Tennessee,TN,47145,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,53061,6017857
RUTHERFORD,Tennessee,TN,47149,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,222304,6017857
SEVIER,Tennessee,TN,47155,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,80460,6017857
SHELBY,Tennessee,TN,47157,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,79,912576,6017857
SHELBY,Tennessee,TN,47157,2005,Drug poisonings (overdose) Suicide (X60-X64),D2,14,912576,6017857
SULLIVAN,Tennessee,TN,47163,2005,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,14,154944,6017857
SUMNER,Tennessee,TN,47165,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,145583,6017857
WASHINGTON,Tennessee,TN,47179,2005,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10,115123,6017857
WILSON,Tennessee,TN,47189,2005,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,101434,6017857
ANDERSON,Tennessee,TN,47001,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,73642,6083543
BLOUNT,Tennessee,TN,47009,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,116186,6083543
CAMPBELL,Tennessee,TN,47013,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,40367,6083543
DAVIDSON,Tennessee,TN,47037,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,89,603905,6083543
DAVIDSON,Tennessee,TN,47037,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,10,603905,6083543
FRANKLIN,Tennessee,TN,47051,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,40344,6083543
HAMILTON,Tennessee,TN,47065,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,33,325137,6083543
HAWKINS,Tennessee,TN,47073,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,55532,6083543
HENRY,Tennessee,TN,47079,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,31856,6083543
KNOX,Tennessee,TN,47093,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,58,412112,6083543
KNOX,Tennessee,TN,47093,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,15,412112,6083543
KNOX,Tennessee,TN,47093,2006,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,25,412112,6083543
PUTNAM,Tennessee,TN,47141,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,68333,6083543
ROANE,Tennessee,TN,47145,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,53289,6083543
RUTHERFORD,Tennessee,TN,47149,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,230359,6083543
SHELBY,Tennessee,TN,47157,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,91,915598,6083543
SHELBY,Tennessee,TN,47157,2006,Drug poisonings (overdose) Suicide (X60-X64),D2,11,915598,6083543
SULLIVAN,Tennessee,TN,47163,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,155315,6083543
SULLIVAN,Tennessee,TN,47163,2006,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,14,155315,6083543
SUMNER,Tennessee,TN,47165,2006,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,148594,6083543
WASHINGTON,Tennessee,TN,47179,2006,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,19,116710,6083543
BLOUNT,Tennessee,TN,47009,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,24,117913,6149229
BRADLEY,Tennessee,TN,47011,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,23,95645,6149229
CAMPBELL,Tennessee,TN,47013,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,40455,6149229
DAVIDSON,Tennessee,TN,47037,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,75,609568,6149229
DAVIDSON,Tennessee,TN,47037,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,11,609568,6149229
GREENE,Tennessee,TN,47059,2007,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,13,67048,6149229
HAMBLEN,Tennessee,TN,47063,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,20,61216,6149229
HAMILTON,Tennessee,TN,47065,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,30,327974,6149229
HAWKINS,Tennessee,TN,47073,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,55857,6149229
JEFFERSON,Tennessee,TN,47089,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,49460,6149229
KNOX,Tennessee,TN,47093,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,66,417150,6149229
KNOX,Tennessee,TN,47093,2007,Drug poisonings (overdose) Suicide (X60-X64),D2,16,417150,6149229
KNOX,Tennessee,TN,47093,2007,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,17,417150,6149229
LAWRENCE,Tennessee,TN,47099,2007,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,41268,6149229
