Year,State Population,County Name,State Abbreviation,County Population,TRANSACTION_MONTH,BUYER_MME
2006,5887471,APACHE,AZ,70684,1,0
2006,5887471,COCHISE,AZ,125909,1,0
2006,5887471,COCONINO,AZ,127186,1,0
2006,5887471,GILA,AZ,52678,1,0
2006,5887471,GRAHAM,AZ,35719,1,0
2006,5887471,GREENLEE,AZ,8479,1,0
2006,5887471,LA PAZ,AZ,20162,1,0
2006,5887471,MARICOPA,AZ,3519379,1,0
2006,5887471,MOHAVE,AZ,182101,1,0
2006,5887471,NAVAJO,AZ,103476,1,0
2006,5887471,PIMA,AZ,925638,1,0
2006,5887471,PINAL,AZ,297249,1,0
2006,5887471,SANTA CRUZ,AZ,43805,1,0
2006,5887471,YAVAPAI,AZ,193561,1,0
2006,5887471,YUMA,AZ,181451,1,0
2007,6013675,APACHE,AZ,70893,1,0
2007,6013675,COCHISE,AZ,127270,1,0
2007,6013675,COCONINO,AZ,128997,1,0
2007,6013675,GILA,AZ,52908,1,0
2007,6013675,GRAHAM,AZ,36093,1,0
2007,6013675,GREENLEE,AZ,8469,1,0
2007,6013675,LA PAZ,AZ,20244,1,0
2007,6013675,MARICOPA,AZ,3593873,1,0
2007,6013675,MOHAVE,AZ,186621,1,0
2007,6013675,NAVAJO,AZ,104480,1,0
2007,6013675,PIMA,AZ,939294,1,0
2007,6013675,PINAL,AZ,316879,1,0
2007,6013675,SANTA CRUZ,AZ,44709,1,0
2007,6013675,YAVAPAI,AZ,197925,1,0
2007,6013675,YUMA,AZ,185027,1,0
2008,6139879,APACHE,AZ,71102,1,0
2008,6139879,COCHISE,AZ,128631,1,0
2008,6139879,COCONINO,AZ,130808,1,0
2008,6139879,GILA,AZ,53138,1,0
2008,6139879,GRAHAM,AZ,36467,1,0
2008,6139879,GREENLEE,AZ,8459,1,0
2008,6139879,LA PAZ,AZ,20326,1,0
2008,6139879,MARICOPA,AZ,3668367,1,0
2008,6139879,MOHAVE,AZ,191141,1,0
2008,6139879,NAVAJO,AZ,105484,1,0
2008,6139879,PIMA,AZ,952950,1,0
2008,6139879,PINAL,AZ,336509,1,0
2008,6139879,SANTA CRUZ,AZ,45613,1,0
2008,6139879,YAVAPAI,AZ,202289,1,0
2008,6139879,YUMA,AZ,188603,1,0
2009,6266083,APACHE,AZ,71311,1,0
2009,6266083,COCHISE,AZ,129992,1,0
2009,6266083,COCONINO,AZ,132619,1,0
2009,6266083,GILA,AZ,53368,1,0
2009,6266083,GRAHAM,AZ,36841,1,0
2009,6266083,GREENLEE,AZ,8449,1,0
2009,6266083,LA PAZ,AZ,20408,1,0
2009,6266083,MARICOPA,AZ,3742861,1,0
2009,6266083,MOHAVE,AZ,195661,1,0
2009,6266083,NAVAJO,AZ,106488,1,0
2009,6266083,PIMA,AZ,966606,1,0
2009,6266083,PINAL,AZ,356139,1,0
2009,6266083,SANTA CRUZ,AZ,46517,1,0
2009,6266083,YAVAPAI,AZ,206653,1,0
2009,6266083,YUMA,AZ,192179,1,0
2010,6392288,APACHE,AZ,71517,1,0
2010,6392288,COCHISE,AZ,131357,1,0
2010,6392288,COCONINO,AZ,134431,1,0
2010,6392288,GILA,AZ,53594,1,0
2010,6392288,GRAHAM,AZ,37219,1,0
2010,6392288,GREENLEE,AZ,8437,1,0
2010,6392288,LA PAZ,AZ,20489,1,0
2010,6392288,MARICOPA,AZ,3817359,1,0
2010,6392288,MOHAVE,AZ,200182,1,0
2010,6392288,NAVAJO,AZ,107488,1,0
2010,6392288,PIMA,AZ,980263,1,0
2010,6392288,PINAL,AZ,375768,1,0
2010,6392288,SANTA CRUZ,AZ,47420,1,0
2010,6392288,YAVAPAI,AZ,211014,1,0
2010,6392288,YUMA,AZ,195750,1,0
2011,6489708,APACHE,AZ,71555,1,0
2011,6489708,COCHISE,AZ,130784,1,0
2011,6489708,COCONINO,AZ,135484,1,0
2011,6489708,GILA,AZ,53631,1,0
2011,6489708,GRAHAM,AZ,37326,1,0
2011,6489708,GREENLEE,AZ,8568,1,0
2011,6489708,LA PAZ,AZ,20565,1,0
2011,6489708,MARICOPA,AZ,3891542,1,0
2011,6489708,MOHAVE,AZ,201353,1,0
2011,6489708,NAVAJO,AZ,107858,1,0
2011,6489708,PIMA,AZ,987614,1,0
2011,6489708,PINAL,AZ,384689,1,0
2011,6489708,SANTA CRUZ,AZ,47306,1,0
2011,6489708,YAVAPAI,AZ,213636,1,0
2011,6489708,YUMA,AZ,197797,1,0
2012,6587128,APACHE,AZ,71593,1,0
2012,6587128,COCHISE,AZ,130211,1,0
2012,6587128,COCONINO,AZ,136537,1,0
2012,6587128,GILA,AZ,53668,1,0
2012,6587128,GRAHAM,AZ,37433,1,0
2012,6587128,GREENLEE,AZ,8699,1,0
2012,6587128,LA PAZ,AZ,20641,1,0
2012,6587128,MARICOPA,AZ,3965725,1,0
2012,6587128,MOHAVE,AZ,202524,1,0
2012,6587128,NAVAJO,AZ,108228,1,0
2012,6587128,PIMA,AZ,994965,1,0
2012,6587128,PINAL,AZ,393610,1,0
2012,6587128,SANTA CRUZ,AZ,47192,1,0
2012,6587128,YAVAPAI,AZ,216258,1,0
2012,6587128,YUMA,AZ,199844,1,0
2006,4507705,ACADIA PARISH,LA,60603,1,1810
2006,4507705,ALLEN PARISH,LA,25633,1,618
2006,4507705,ASCENSION PARISH,LA,94987,1,2611
2006,4507705,ASSUMPTION PARISH,LA,23385,1,140
2006,4507705,AVOYELLES PARISH,LA,41843,1,820
2006,4507705,BEAUREGARD PARISH,LA,34574,1,466
2006,4507705,BIENVILLE PARISH,LA,14913,1,160
2006,4507705,BOSSIER PARISH,LA,109957,1,2096
2006,4507705,CADDO PARISH,LA,253403,1,7256
2006,4507705,CALCASIEU PARISH,LA,189108,1,4750
2006,4507705,CALDWELL PARISH,LA,10302,1,217
2006,4507705,CAMERON PARISH,LA,8105,1,0
2006,4507705,CATAHOULA PARISH,LA,10605,1,210
2006,4507705,CLAIBORNE PARISH,LA,17054,1,290
2006,4507705,CONCORDIA PARISH,LA,20581,1,249
2006,4507705,DE SOTO PARISH,LA,26191,1,348
2006,4507705,EAST BATON ROUGE PARISH,LA,429261,1,13789
2006,4507705,EAST CARROLL PARISH,LA,8419,1,48
2006,4507705,EAST FELICIANA PARISH,LA,20706,1,252
2006,4507705,EVANGELINE PARISH,LA,34596,1,919
2006,4507705,FRANKLIN PARISH,LA,20964,1,216
2006,4507705,GRANT PARISH,LA,20863,1,83
2006,4507705,IBERIA PARISH,LA,73169,1,1043
2006,4507705,IBERVILLE PARISH,LA,33367,1,629
2006,4507705,JACKSON PARISH,LA,15924,1,296
2006,4507705,JEFFERSON PARISH,LA,441708,1,22500
2006,4507705,JEFFERSON DAVIS PARISH,LA,31528,1,880
2006,4507705,LAFAYETTE PARISH,LA,209128,1,12952
2006,4507705,LAFOURCHE PARISH,LA,93897,1,1850
2006,4507705,LA SALLE PARISH,LA,14642,1,279
2006,4507705,LINCOLN PARISH,LA,45047,1,455
2006,4507705,LIVINGSTON PARISH,LA,113567,1,4256
2006,4507705,MADISON PARISH,LA,12752,1,95
2006,4507705,MOREHOUSE PARISH,LA,29201,1,353
2006,4507705,NATCHITOCHES PARISH,LA,39371,1,587
2006,4507705,ORLEANS PARISH,LA,400176,1,1533
2006,4507705,OUACHITA PARISH,LA,151144,1,2449
2006,4507705,PLAQUEMINES PARISH,LA,24523,1,69
2006,4507705,POINTE COUPEE PARISH,LA,22785,1,331
2006,4507705,RAPIDES PARISH,LA,129522,1,3105
2006,4507705,RED RIVER PARISH,LA,9303,1,182
2006,4507705,RICHLAND PARISH,LA,20833,1,404
2006,4507705,SABINE PARISH,LA,23914,1,324
2006,4507705,ST. BERNARD PARISH,LA,48432,1,0
2006,4507705,ST. CHARLES PARISH,LA,50941,1,1929
2006,4507705,ST. HELENA PARISH,LA,10943,1,162
2006,4507705,ST. JAMES PARISH,LA,21739,1,206
2006,4507705,ST. JOHN THE BAPTIST PARISH,LA,44759,1,532
2006,4507705,ST. LANDRY PARISH,LA,85094,1,2375
2006,4507705,ST. MARTIN PARISH,LA,50707,1,755
2006,4507705,ST. MARY PARISH,LA,54205,1,1070
2006,4507705,ST. TAMMANY PARISH,LA,216758,1,9221
2006,4507705,TANGIPAHOA PARISH,LA,112859,1,3268
2006,4507705,TENSAS PARISH,LA,5792,1,25
2006,4507705,TERREBONNE PARISH,LA,108822,1,1710
2006,4507705,UNION PARISH,LA,22786,1,287
2006,4507705,VERMILION PARISH,LA,56426,1,807
2006,4507705,VERNON PARISH,LA,52419,1,656
2006,4507705,WASHINGTON PARISH,LA,45863,1,2227
2006,4507705,WEBSTER PARISH,LA,41448,1,709
2006,4507705,WEST BATON ROUGE PARISH,LA,22912,1,710
2006,4507705,WEST CARROLL PARISH,LA,11889,1,131
2006,4507705,WEST FELICIANA PARISH,LA,15422,1,67
2006,4507705,WINN PARISH,LA,15941,1,341
2007,4514150,ACADIA PARISH,LA,60898,1,2085
2007,4514150,ALLEN PARISH,LA,25665,1,669
2007,4514150,ASCENSION PARISH,LA,98045,1,3759
2007,4514150,ASSUMPTION PARISH,LA,23392,1,184
2007,4514150,AVOYELLES PARISH,LA,41900,1,935
2007,4514150,BEAUREGARD PARISH,LA,34845,1,473
2007,4514150,BIENVILLE PARISH,LA,14773,1,194
2007,4514150,BOSSIER PARISH,LA,111724,1,2198
2007,4514150,CADDO PARISH,LA,253782,1,6801
2007,4514150,CALCASIEU PARISH,LA,190025,1,4704
2007,4514150,CALDWELL PARISH,LA,10260,1,239
2007,4514150,CAMERON PARISH,LA,7795,1,0
2007,4514150,CATAHOULA PARISH,LA,10555,1,267
2007,4514150,CLAIBORNE PARISH,LA,17088,1,350
2007,4514150,CONCORDIA PARISH,LA,20641,1,281
2007,4514150,DE SOTO PARISH,LA,26308,1,393
2007,4514150,EAST BATON ROUGE PARISH,LA,431988,1,16771
2007,4514150,EAST CARROLL PARISH,LA,8253,1,73
