Year,State Population,County Name,State Abbreviation,County Population,TRANSACTION_MONTH,BUYER_MME,Policy State
2006,23428082,ANDERSON,TX,57118,1,1009,True
2006,23428082,ANDREWS,TX,14070,1,109,True
2006,23428082,ANGELINA,TX,84113,1,1656,True
2006,23428082,ARANSAS,TX,22877,1,331,True
2006,23428082,ARCHER,TX,8994,1,0,True
2006,23428082,ARMSTRONG,TX,2003,1,0,True
2006,23428082,ATASCOSA,TX,42374,1,456,True
2006,23428082,AUSTIN,TX,26484,1,272,True
2006,23428082,BAILEY,TX,6935,1,42,True
2006,23428082,BANDERA,TX,19329,1,94,True
2006,23428082,BASTROP,TX,67602,1,782,True
2006,23428082,BAYLOR,TX,3875,1,69,True
2006,23428082,BEE,TX,32053,1,294,True
2006,23428082,BELL,TX,281296,1,1306,True
2006,23428082,BEXAR,TX,1586079,1,11016,True
2006,23428082,BLANCO,TX,9672,1,48,True
2006,23428082,BORDEN,TX,675,1,0,True
2006,23428082,BOSQUE,TX,17806,1,227,True
2006,23428082,BOWIE,TX,91258,1,1469,True
2006,23428082,BRAZORIA,TX,284597,1,2727,True
2006,23428082,BRAZOS,TX,177888,1,1002,True
2006,23428082,BREWSTER,TX,9088,1,104,True
2006,23428082,BRISCOE,TX,1703,1,0,True
2006,23428082,BROOKS,TX,7524,1,39,True
2006,23428082,BROWN,TX,37932,1,1258,True
2006,23428082,BURLESON,TX,16893,1,139,True
2006,23428082,BURNET,TX,39300,1,650,True
2006,23428082,CALDWELL,TX,35677,1,188,True
2006,23428082,CALHOUN,TX,21089,1,335,True
2006,23428082,CALLAHAN,TX,13275,1,0,True
2006,23428082,CAMERON,TX,377682,1,1395,True
2006,23428082,CAMP,TX,12055,1,138,True
2006,23428082,CARSON,TX,6311,1,7,True
2006,23428082,CASS,TX,30451,1,540,True
2006,23428082,CASTRO,TX,8150,1,41,True
2006,23428082,CHAMBERS,TX,31460,1,68,True
2006,23428082,CHEROKEE,TX,49188,1,909,True
2006,23428082,CHILDRESS,TX,7301,1,196,True
2006,23428082,CLAY,TX,10853,1,78,True
2006,23428082,COCHRAN,TX,3364,1,0,True
2006,23428082,COKE,TX,3535,1,0,True
2006,23428082,COLEMAN,TX,9028,1,51,True
2006,23428082,COLLIN,TX,665842,1,5794,True
2006,23428082,COLLINGSWORTH,TX,3116,1,0,True
2006,23428082,COLORADO,TX,20668,1,134,True
2006,23428082,COMAL,TX,96298,1,968,True
2006,23428082,COMANCHE,TX,13985,1,201,True
2006,23428082,CONCHO,TX,4036,1,0,True
2006,23428082,COOKE,TX,37612,1,702,True
2006,23428082,CORYELL,TX,75247,1,294,True
2006,23428082,COTTLE,TX,1665,1,0,True
2006,23428082,CRANE,TX,4224,1,21,True
2006,23428082,CROCKETT,TX,3871,1,20,True
2006,23428082,CROSBY,TX,6460,1,74,True
2006,23428082,CULBERSON,TX,2631,1,3,True
2006,23428082,DALLAM,TX,6507,1,90,True
2006,23428082,DALLAS,TX,2306736,1,22829,True
2006,23428082,DAWSON,TX,14297,1,91,True
2006,23428082,DEAF SMITH,TX,19051,1,102,True
2006,23428082,DELTA,TX,5265,1,23,True
2006,23428082,DENTON,TX,570759,1,5764,True
2006,23428082,DEWITT,TX,20059,1,406,True
2006,23428082,DICKENS,TX,2568,1,10,True
2006,23428082,DIMMIT,TX,10079,1,60,True
2006,23428082,DONLEY,TX,3760,1,35,True
2006,23428082,DUVAL,TX,12299,1,9,True
2006,23428082,EASTLAND,TX,18463,1,398,True
2006,23428082,ECTOR,TX,130730,1,1957,True
2006,23428082,EDWARDS,TX,2064,1,0,True
2006,23428082,ELLIS,TX,134329,1,1402,True
2006,23428082,EL PASO,TX,752216,1,3797,True
