County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
ANDERSON,Texas,TX,48001,2003,,,0,56116,22139555
ANDREWS,Texas,TX,48003,2003,,,0,13536,22139555
ANGELINA,Texas,TX,48005,2003,,,0,82118,22139555
ARANSAS,Texas,TX,48007,2003,,,0,22667,22139555
ARCHER,Texas,TX,48009,2003,,,0,8949,22139555
ARMSTRONG,Texas,TX,48011,2003,,,0,2078,22139555
ATASCOSA,Texas,TX,48013,2003,,,0,40469,22139555
AUSTIN,Texas,TX,48015,2003,,,0,25035,22139555
BAILEY,Texas,TX,48017,2003,,,0,6764,22139555
BANDERA,Texas,TX,48019,2003,,,0,18459,22139555
BASTROP,Texas,TX,48021,2003,,,0,62652,22139555
BAYLOR,Texas,TX,48023,2003,,,0,3983,22139555
BEE,Texas,TX,48025,2003,,,0,32200,22139555
BELL,Texas,TX,48027,2003,,,0,259648,22139555
BEXAR,Texas,TX,48029,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,84,1489557,22139555
BEXAR,Texas,TX,48029,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,25,1489557,22139555
BLANCO,Texas,TX,48031,2003,,,0,9054,22139555
BORDEN,Texas,TX,48033,2003,,,0,702,22139555
BOSQUE,Texas,TX,48035,2003,,,0,17497,22139555
BOWIE,Texas,TX,48037,2003,,,0,90277,22139555
BRAZORIA,Texas,TX,48039,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,263201,22139555
BRAZOS,Texas,TX,48041,2003,,,0,165162,22139555
BREWSTER,Texas,TX,48043,2003,,,0,8980,22139555
BRISCOE,Texas,TX,48045,2003,,,0,1754,22139555
BROOKS,Texas,TX,48047,2003,,,0,7752,22139555
BROWN,Texas,TX,48049,2003,,,0,37800,22139555
BURLESON,Texas,TX,48051,2003,,,0,16671,22139555
BURNET,Texas,TX,48053,2003,,,0,36744,22139555
CALDWELL,Texas,TX,48055,2003,,,0,33889,22139555
CALHOUN,Texas,TX,48057,2003,,,0,20867,22139555
CALLAHAN,Texas,TX,48059,2003,,,0,13074,22139555
CAMERON,Texas,TX,48061,2003,,,0,356283,22139555
CAMP,Texas,TX,48063,2003,,,0,11794,22139555
CARSON,Texas,TX,48065,2003,,,0,6407,22139555
CASS,Texas,TX,48067,2003,,,0,30439,22139555
CASTRO,Texas,TX,48069,2003,,,0,8213,22139555
CHAMBERS,Texas,TX,48071,2003,,,0,28733,22139555
CHEROKEE,Texas,TX,48073,2003,,,0,47952,22139555
CHILDRESS,Texas,TX,48075,2003,,,0,7499,22139555
CLAY,Texas,TX,48077,2003,,,0,10925,22139555
COCHRAN,Texas,TX,48079,2003,,,0,3544,22139555
COKE,Texas,TX,48081,2003,,,0,3700,22139555
COLEMAN,Texas,TX,48083,2003,,,0,9130,22139555
COLLIN,Texas,TX,48085,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,26,578557,22139555
COLLINGSWORTH,Texas,TX,48087,2003,,,0,3161,22139555
COLORADO,Texas,TX,48089,2003,,,0,20512,22139555
COMAL,Texas,TX,48091,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,87160,22139555
COMANCHE,Texas,TX,48093,2003,,,0,14006,22139555
CONCHO,Texas,TX,48095,2003,,,0,4000,22139555
COOKE,Texas,TX,48097,2003,,,0,36991,22139555
CORYELL,Texas,TX,48099,2003,,,0,75073,22139555
COTTLE,Texas,TX,48101,2003,,,0,1782,22139555
CRANE,Texas,TX,48103,2003,,,0,4110,22139555
CROCKETT,Texas,TX,48105,2003,,,0,3985,22139555
CROSBY,Texas,TX,48107,2003,,,0,6766,22139555
CULBERSON,Texas,TX,48109,2003,,,0,2805,22139555
DALLAM,Texas,TX,48111,2003,,,0,6360,22139555
DALLAS,Texas,TX,48113,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,124,2261772,22139555
DALLAS,Texas,TX,48113,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,36,2261772,22139555
DALLAS,Texas,TX,48113,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,21,2261772,22139555
DAWSON,Texas,TX,48115,2003,,,0,14642,22139555
DEAF SMITH,Texas,TX,48117,2003,,,0,18808,22139555
DELTA,Texas,TX,48119,2003,,,0,5292,22139555
DENTON,Texas,TX,48121,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,501912,22139555
DEWITT,Texas,TX,48123,2003,,,0,20029,22139555
DICKENS,Texas,TX,48125,2003,,,0,2664,22139555
DIMMIT,Texas,TX,48127,2003,,,0,10142,22139555
DONLEY,Texas,TX,48129,2003,,,0,3787,22139555
DUVAL,Texas,TX,48131,2003,,,0,12686,22139555
EASTLAND,Texas,TX,48133,2003,,,0,18376,22139555
ECTOR,Texas,TX,48135,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,125927,22139555
EDWARDS,Texas,TX,48137,2003,,,0,2112,22139555
ELLIS,Texas,TX,48139,2003,,,0,122872,22139555
EL PASO,Texas,TX,48141,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,52,715892,22139555
ERATH,Texas,TX,48143,2003,,,0,34457,22139555
FALLS,Texas,TX,48145,2003,,,0,18353,22139555
FANNIN,Texas,TX,48147,2003,,,0,32029,22139555
FAYETTE,Texas,TX,48149,2003,,,0,22640,22139555
FISHER,Texas,TX,48151,2003,,,0,4234,22139555
FLOYD,Texas,TX,48153,2003,,,0,7374,22139555
FOARD,Texas,TX,48155,2003,,,0,1537,22139555
FORT BEND,Texas,TX,48157,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,423406,22139555
FRANKLIN,Texas,TX,48159,2003,,,0,9782,22139555
FREESTONE,Texas,TX,48161,2003,,,0,18442,22139555
FRIO,Texas,TX,48163,2003,,,0,16543,22139555
GAINES,Texas,TX,48165,2003,,,0,15381,22139555
GALVESTON,Texas,TX,48167,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,27,262517,22139555
GARZA,Texas,TX,48169,2003,,,0,5350,22139555
GILLESPIE,Texas,TX,48171,2003,,,0,22015,22139555
GLASSCOCK,Texas,TX,48173,2003,,,0,1356,22139555
GOLIAD,Texas,TX,48175,2003,,,0,7010,22139555
GONZALES,Texas,TX,48177,2003,,,0,18964,22139555
GRAY,Texas,TX,48179,2003,,,0,22682,22139555
GRAYSON,Texas,TX,48181,2003,,,0,113664,22139555
GREGG,Texas,TX,48183,2003,,,0,114454,22139555
GRIMES,Texas,TX,48185,2003,,,0,24456,22139555
GUADALUPE,Texas,TX,48187,2003,,,0,101660,22139555
HALE,Texas,TX,48189,2003,,,0,36485,22139555
HALL,Texas,TX,48191,2003,,,0,3653,22139555
HAMILTON,Texas,TX,48193,2003,,,0,8313,22139555
HANSFORD,Texas,TX,48195,2003,,,0,5441,22139555
HARDEMAN,Texas,TX,48197,2003,,,0,4549,22139555
HARDIN,Texas,TX,48199,2003,,,0,50043,22139555
HARRIS,Texas,TX,48201,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,244,3608754,22139555
HARRIS,Texas,TX,48201,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,69,3608754,22139555
HARRISON,Texas,TX,48203,2003,,,0,63161,22139555
HARTLEY,Texas,TX,48205,2003,,,0,5694,22139555
HASKELL,Texas,TX,48207,2003,,,0,6034,22139555
HAYS,Texas,TX,48209,2003,,,0,115672,22139555
HEMPHILL,Texas,TX,48211,2003,,,0,3488,22139555
HENDERSON,Texas,TX,48213,2003,,,0,74734,22139555
HIDALGO,Texas,TX,48215,2003,,,0,630800,22139555
HILL,Texas,TX,48217,2003,,,0,33138,22139555
HOCKLEY,Texas,TX,48219,2003,,,0,22782,22139555
HOOD,Texas,TX,48221,2003,,,0,44041,22139555
HOPKINS,Texas,TX,48223,2003,,,0,32920,22139555
HOUSTON,Texas,TX,48225,2003,,,0,23322,22139555
HOWARD,Texas,TX,48227,2003,,,0,34044,22139555
HUDSPETH,Texas,TX,48229,2003,,,0,3388,22139555
HUNT,Texas,TX,48231,2003,,,0,79442,22139555
HUTCHINSON,Texas,TX,48233,2003,,,0,23378,22139555
IRION,Texas,TX,48235,2003,,,0,1714,22139555
JACK,Texas,TX,48237,2003,,,0,8838,22139555
JACKSON,Texas,TX,48239,2003,,,0,14294,22139555
