Year,State Population,County Name,State Abbreviation,County Population,TRANSACTION_MONTH,BUYER_MME
2006,1458177,ADA,ID,355805,1,6531
2006,1458177,ADAMS,ID,3783,1,0
2006,1458177,BANNOCK,ID,79930,1,1041
2006,1458177,BEAR LAKE,ID,6160,1,231
2006,1458177,BENEWAH,ID,9235,1,136
2006,1458177,BINGHAM,ID,44059,1,323
2006,1458177,BLAINE,ID,20422,1,163
2006,1458177,BOISE,ID,6872,1,0
2006,1458177,BONNER,ID,39251,1,892
2006,1458177,BONNEVILLE,ID,95595,1,1347
2006,1458177,BOUNDARY,ID,10534,1,296
2006,1458177,BUTTE,ID,2897,1,77
2006,1458177,CAMAS,ID,1065,1,0
2006,1458177,CANYON,ID,165934,1,1795
2006,1458177,CARIBOU,ID,7098,1,122
2006,1458177,CASSIA,ID,22335,1,332
2006,1458177,CLARK,ID,998,1,0
2006,1458177,CLEARWATER,ID,8826,1,138
2006,1458177,CUSTER,ID,4358,1,13
2006,1458177,ELMORE,ID,27868,1,296
2006,1458177,FRANKLIN,ID,12203,1,202
2006,1458177,FREMONT,ID,12665,1,41
2006,1458177,GEM,ID,16103,1,295
2006,1458177,GOODING,ID,14942,1,104
2006,1458177,IDAHO,ID,15962,1,160
2006,1458177,JEFFERSON,ID,23329,1,123
2006,1458177,JEROME,ID,20777,1,257
2006,1458177,KOOTENAI,ID,126550,1,2936
2006,1458177,LATAH,ID,36317,1,487
2006,1458177,LEMHI,ID,7882,1,275
2006,1458177,LEWIS,ID,3792,1,111
2006,1458177,LINCOLN,ID,4746,1,0
2006,1458177,MADISON,ID,33527,1,237
2006,1458177,MINIDOKA,ID,20095,1,128
2006,1458177,NEZ PERCE,ID,38528,1,1363
2006,1458177,ONEIDA,ID,4221,1,149
2006,1458177,OWYHEE,ID,11172,1,29
2006,1458177,PAYETTE,ID,21808,1,208
2006,1458177,POWER,ID,7710,1,51
2006,1458177,SHOSHONE,ID,13187,1,592
2006,1458177,TETON,ID,8502,1,76
2006,1458177,TWIN FALLS,ID,72050,1,1360
2006,1458177,VALLEY,ID,8969,1,131
2006,1458177,WASHINGTON,ID,10115,1,203
2007,1485547,ADA,ID,364947,1,8326
2007,1485547,ADAMS,ID,3833,1,0
2007,1485547,BANNOCK,ID,80658,1,1310
2007,1485547,BEAR LAKE,ID,6117,1,216
2007,1485547,BENEWAH,ID,9246,1,214
2007,1485547,BINGHAM,ID,44446,1,429
2007,1485547,BLAINE,ID,20660,1,190
2007,1485547,BOISE,ID,6910,1,0
2007,1485547,BONNER,ID,39658,1,1168
2007,1485547,BONNEVILLE,ID,97770,1,1996
2007,1485547,BOUNDARY,ID,10643,1,366
2007,1485547,BUTTE,ID,2897,1,115
2007,1485547,CAMAS,ID,1079,1,0
2007,1485547,CANYON,ID,171681,1,2505
2007,1485547,CARIBOU,ID,7065,1,280
2007,1485547,CASSIA,ID,22491,1,489
2007,1485547,CLARK,ID,994,1,0
2007,1485547,CLEARWATER,ID,8809,1,334
2007,1485547,CUSTER,ID,4361,1,47
2007,1485547,ELMORE,ID,27660,1,270
2007,1485547,FRANKLIN,ID,12348,1,147
2007,1485547,FREMONT,ID,12807,1,50
2007,1485547,GEM,ID,16257,1,424
2007,1485547,GOODING,ID,15074,1,106
2007,1485547,IDAHO,ID,16038,1,198
2007,1485547,JEFFERSON,ID,24031,1,178
2007,1485547,JEROME,ID,21173,1,266
2007,1485547,KOOTENAI,ID,129528,1,3691
2007,1485547,LATAH,ID,36549,1,587
2007,1485547,LEMHI,ID,7896,1,232
2007,1485547,LEWIS,ID,3800,1,148
2007,1485547,LINCOLN,ID,4862,1,0
2007,1485547,MADISON,ID,34533,1,238
2007,1485547,MINIDOKA,ID,20085,1,137
2007,1485547,NEZ PERCE,ID,38713,1,1411
2007,1485547,ONEIDA,ID,4237,1,135
2007,1485547,OWYHEE,ID,11260,1,41
2007,1485547,PAYETTE,ID,22012,1,336
2007,1485547,POWER,ID,7738,1,92
2007,1485547,SHOSHONE,ID,13091,1,727
2007,1485547,TETON,ID,8918,1,109
2007,1485547,TWIN FALLS,ID,73344,1,1772
2007,1485547,VALLEY,ID,9191,1,211
2007,1485547,WASHINGTON,ID,10137,1,114
2008,1512917,ADA,ID,374089,1,8851
2008,1512917,ADAMS,ID,3883,1,0
2008,1512917,BANNOCK,ID,81386,1,1327
2008,1512917,BEAR LAKE,ID,6074,1,254
2008,1512917,BENEWAH,ID,9257,1,239
2008,1512917,BINGHAM,ID,44833,1,472
2008,1512917,BLAINE,ID,20898,1,274
2008,1512917,BOISE,ID,6948,1,0
2008,1512917,BONNER,ID,40065,1,1228
2008,1512917,BONNEVILLE,ID,99945,1,2194
2008,1512917,BOUNDARY,ID,10752,1,339
2008,1512917,BUTTE,ID,2897,1,58
2008,1512917,CAMAS,ID,1093,1,0
2008,1512917,CANYON,ID,177428,1,2968
2008,1512917,CARIBOU,ID,7032,1,118
2008,1512917,CASSIA,ID,22647,1,580
2008,1512917,CLARK,ID,990,1,0
2008,1512917,CLEARWATER,ID,8792,1,291
2008,1512917,CUSTER,ID,4364,1,77
2008,1512917,ELMORE,ID,27452,1,314
2008,1512917,FRANKLIN,ID,12493,1,171
2008,1512917,FREMONT,ID,12949,1,72
2008,1512917,GEM,ID,16411,1,276
2008,1512917,GOODING,ID,15206,1,153
2008,1512917,IDAHO,ID,16114,1,245
2008,1512917,JEFFERSON,ID,24733,1,195
2008,1512917,JEROME,ID,21569,1,306
2008,1512917,KOOTENAI,ID,132506,1,3827
2008,1512917,LATAH,ID,36781,1,726
2008,1512917,LEMHI,ID,7910,1,257
2008,1512917,LEWIS,ID,3808,1,159
2008,1512917,LINCOLN,ID,4978,1,0
2008,1512917,MADISON,ID,35539,1,357
2008,1512917,MINIDOKA,ID,20075,1,118
2008,1512917,NEZ PERCE,ID,38898,1,1554
2008,1512917,ONEIDA,ID,4253,1,109
2008,1512917,OWYHEE,ID,11348,1,44
2008,1512917,PAYETTE,ID,22216,1,165
2008,1512917,POWER,ID,7766,1,92
2008,1512917,SHOSHONE,ID,12995,1,767
2008,1512917,TETON,ID,9334,1,126
2008,1512917,TWIN FALLS,ID,74638,1,2088
2008,1512917,VALLEY,ID,9413,1,181
2008,1512917,WASHINGTON,ID,10159,1,145
2009,1540287,ADA,ID,383231,1,10307
2009,1540287,ADAMS,ID,3933,1,0
2009,1540287,BANNOCK,ID,82114,1,1821
2009,1540287,BEAR LAKE,ID,6031,1,219
2009,1540287,BENEWAH,ID,9268,1,268
2009,1540287,BINGHAM,ID,45220,1,630
2009,1540287,BLAINE,ID,21136,1,193
2009,1540287,BOISE,ID,6986,1,0
2009,1540287,BONNER,ID,40472,1,1214
2009,1540287,BONNEVILLE,ID,102120,1,2741
2009,1540287,BOUNDARY,ID,10861,1,450
2009,1540287,BUTTE,ID,2897,1,53
2009,1540287,CAMAS,ID,1107,1,0
2009,1540287,CANYON,ID,183175,1,3248
2009,1540287,CARIBOU,ID,6999,1,154
2009,1540287,CASSIA,ID,22803,1,583
2009,1540287,CLARK,ID,986,1,0
2009,1540287,CLEARWATER,ID,8775,1,394
2009,1540287,CUSTER,ID,4367,1,50
2009,1540287,ELMORE,ID,27244,1,346
2009,1540287,FRANKLIN,ID,12638,1,153
2009,1540287,FREMONT,ID,13091,1,58
2009,1540287,GEM,ID,16565,1,252
2009,1540287,GOODING,ID,15338,1,220
2009,1540287,IDAHO,ID,16190,1,233
2009,1540287,JEFFERSON,ID,25435,1,179
2009,1540287,JEROME,ID,21965,1,344
2009,1540287,KOOTENAI,ID,135484,1,4233
2009,1540287,LATAH,ID,37013,1,545
2009,1540287,LEMHI,ID,7924,1,248
2009,1540287,LEWIS,ID,3816,1,130
2009,1540287,LINCOLN,ID,5094,1,0
2009,1540287,MADISON,ID,36545,1,510
2009,1540287,MINIDOKA,ID,20065,1,147
2009,1540287,NEZ PERCE,ID,39083,1,1664
2009,1540287,ONEIDA,ID,4269,1,81
2009,1540287,OWYHEE,ID,11436,1,180
2009,1540287,PAYETTE,ID,22420,1,227
2009,1540287,POWER,ID,7794,1,70
2009,1540287,SHOSHONE,ID,12899,1,723
2009,1540287,TETON,ID,9750,1,128
2009,1540287,TWIN FALLS,ID,75932,1,2373
2009,1540287,VALLEY,ID,9635,1,226
2009,1540287,WASHINGTON,ID,10181,1,237
2010,1567657,ADA,ID,392371,1,8895
2010,1567657,ADAMS,ID,3978,1,0
2010,1567657,BANNOCK,ID,82842,1,1739
2010,1567657,BEAR LAKE,ID,5986,1,195
2010,1567657,BENEWAH,ID,9283,1,242
2010,1567657,BINGHAM,ID,45605,1,639
2010,1567657,BLAINE,ID,21377,1,218
2010,1567657,BOISE,ID,7028,1,0
2010,1567657,BONNER,ID,40877,1,1179
2010,1567657,BONNEVILLE,ID,104294,1,2075
2010,1567657,BOUNDARY,ID,10972,1,342
2010,1567657,BUTTE,ID,2893,1,58
2010,1567657,CAMAS,ID,1117,1,0
2010,1567657,CANYON,ID,188922,1,2520
2010,1567657,CARIBOU,ID,6963,1,96
2010,1567657,CASSIA,ID,22964,1,554
2010,1567657,CLARK,ID,982,1,0
2010,1567657,CLEARWATER,ID,8761,1,253
2010,1567657,CUSTER,ID,4366,1,60
2010,1567657,ELMORE,ID,27040,1,461
2010,1567657,FRANKLIN,ID,12786,1,213
2010,1567657,FREMONT,ID,13236,1,128
2010,1567657,GEM,ID,16719,1,615
2010,1567657,GOODING,ID,15472,1,252
2010,1567657,IDAHO,ID,16267,1,288
2010,1567657,JEFFERSON,ID,26142,1,243
2010,1567657,JEROME,ID,22366,1,306
2010,1567657,KOOTENAI,ID,138466,1,2937
2010,1567657,LATAH,ID,37243,1,565
2010,1567657,LEMHI,ID,7936,1,330
2010,1567657,LEWIS,ID,3821,1,182
2010,1567657,LINCOLN,ID,5206,1,0
2010,1567657,MADISON,ID,37551,1,377
2010,1567657,MINIDOKA,ID,20055,1,143
2010,1567657,NEZ PERCE,ID,39270,1,1411
2010,1567657,ONEIDA,ID,4286,1,94
2010,1567657,OWYHEE,ID,11526,1,117
2010,1567657,PAYETTE,ID,22622,1,358
2010,1567657,POWER,ID,7819,1,85
2010,1567657,SHOSHONE,ID,12800,1,715
2010,1567657,TETON,ID,10165,1,127
2010,1567657,TWIN FALLS,ID,77230,1,2429
2010,1567657,VALLEY,ID,9854,1,258
2010,1567657,WASHINGTON,ID,10198,1,202
2011,1590976,ADA,ID,402070,1,12728
2011,1590976,ADAMS,ID,4012,1,0
2011,1590976,BANNOCK,ID,83379,1,2424
2011,1590976,BEAR LAKE,ID,5994,1,194
2011,1590976,BENEWAH,ID,9276,1,168
2011,1590976,BINGHAM,ID,45684,1,838
2011,1590976,BLAINE,ID,21530,1,235
2011,1590976,BOISE,ID,7104,1,0
2011,1590976,BONNER,ID,41358,1,1338
2011,1590976,BONNEVILLE,ID,105864,1,3153
2011,1590976,BOUNDARY,ID,11094,1,468
2011,1590976,BUTTE,ID,2858,1,61
2011,1590976,CAMAS,ID,1118,1,0
2011,1590976,CANYON,ID,193244,1,4452
2011,1590976,CARIBOU,ID,6975,1,176
2011,1590976,CASSIA,ID,23076,1,752
2011,1590976,CLARK,ID,966,1,0
2011,1590976,CLEARWATER,ID,8761,1,385
2011,1590976,CUSTER,ID,4355,1,71
2011,1590976,ELMORE,ID,27067,1,479
2011,1590976,FRANKLIN,ID,12904,1,181
2011,1590976,FREMONT,ID,13228,1,136
2011,1590976,GEM,ID,16833,1,969
2011,1590976,GOODING,ID,15438,1,337
2011,1590976,IDAHO,ID,16298,1,344
2011,1590976,JEFFERSON,ID,26554,1,225
2011,1590976,JEROME,ID,22572,1,413
2011,1590976,KOOTENAI,ID,141346,1,4095
2011,1590976,LATAH,ID,37604,1,661
2011,1590976,LEMHI,ID,7939,1,299
2011,1590976,LEWIS,ID,3826,1,190
2011,1590976,LINCOLN,ID,5225,1,0
2011,1590976,MADISON,ID,37770,1,544
2011,1590976,MINIDOKA,ID,20151,1,205
2011,1590976,NEZ PERCE,ID,39412,1,1493
2011,1590976,ONEIDA,ID,4311,1,111
2011,1590976,OWYHEE,ID,11547,1,148
2011,1590976,PAYETTE,ID,22738,1,309
2011,1590976,POWER,ID,7813,1,161
2011,1590976,SHOSHONE,ID,12800,1,729
2011,1590976,TETON,ID,10349,1,185
2011,1590976,TWIN FALLS,ID,78336,1,3169
2011,1590976,VALLEY,ID,10002,1,326
2011,1590976,WASHINGTON,ID,10193,1,261
2012,1614295,ADA,ID,411769,1,14693
2012,1614295,ADAMS,ID,4046,1,0
2012,1614295,BANNOCK,ID,83916,1,2945
2012,1614295,BEAR LAKE,ID,6002,1,166
2012,1614295,BENEWAH,ID,9269,1,179
2012,1614295,BINGHAM,ID,45763,1,1028
2012,1614295,BLAINE,ID,21683,1,309
2012,1614295,BOISE,ID,7180,1,1
2012,1614295,BONNER,ID,41839,1,1433
2012,1614295,BONNEVILLE,ID,107434,1,3628
2012,1614295,BOUNDARY,ID,11216,1,379
2012,1614295,BUTTE,ID,2823,1,79
2012,1614295,CAMAS,ID,1119,1,0
2012,1614295,CANYON,ID,197566,1,5211
2012,1614295,CARIBOU,ID,6987,1,201
2012,1614295,CASSIA,ID,23188,1,773
2012,1614295,CLARK,ID,950,1,0
2012,1614295,CLEARWATER,ID,8761,1,312
2012,1614295,CUSTER,ID,4344,1,90
2012,1614295,ELMORE,ID,27094,1,500
2012,1614295,FRANKLIN,ID,13022,1,251
2012,1614295,FREMONT,ID,13220,1,111
2012,1614295,GEM,ID,16947,1,751
2012,1614295,GOODING,ID,15404,1,455
2012,1614295,IDAHO,ID,16329,1,392
2012,1614295,JEFFERSON,ID,26966,1,231
2012,1614295,JEROME,ID,22778,1,525
2012,1614295,KOOTENAI,ID,144226,1,4306
2012,1614295,LATAH,ID,37965,1,815
2012,1614295,LEMHI,ID,7942,1,414
2012,1614295,LEWIS,ID,3831,1,221
2012,1614295,LINCOLN,ID,5244,1,0
2012,1614295,MADISON,ID,37989,1,439
2012,1614295,MINIDOKA,ID,20247,1,221
2012,1614295,NEZ PERCE,ID,39554,1,1650
2012,1614295,ONEIDA,ID,4336,1,94
2012,1614295,OWYHEE,ID,11568,1,101
2012,1614295,PAYETTE,ID,22854,1,372
2012,1614295,POWER,ID,7807,1,184
2012,1614295,SHOSHONE,ID,12800,1,810
2012,1614295,TETON,ID,10533,1,171
2012,1614295,TWIN FALLS,ID,79442,1,3554
2012,1614295,VALLEY,ID,10150,1,301
2012,1614295,WASHINGTON,ID,10188,1,404
2006,954526,BEAVERHEAD,MT,9222,1,139
2006,954526,BIG HORN,MT,12790,1,69
2006,954526,BLAINE,MT,6697,1,30
2006,954526,BROADWATER,MT,5118,1,32
2006,954526,CARBON,MT,9863,1,92
2006,954526,CARTER,MT,1238,1,0
2006,954526,CASCADE,MT,80938,1,2120
2006,954526,CHOUTEAU,MT,5872,1,34
2006,954526,CUSTER,MT,11694,1,285
2006,954526,DANIELS,MT,1855,1,5
2006,954526,DAWSON,MT,8999,1,155
2006,954526,DEER LODGE,MT,9344,1,217
2006,954526,FALLON,MT,2871,1,37
2006,954526,FERGUS,MT,11719,1,178
2006,954526,FLATHEAD,MT,84359,1,3542
2006,954526,GALLATIN,MT,80845,1,850
