County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population,Policy State
ADAMS,Washington,WA,53001,2003,,,0,17116,6143359,True
ASOTIN,Washington,WA,53003,2003,,,0,20874,6143359,True
BENTON,Washington,WA,53005,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,152283,6143359,True
CHELAN,Washington,WA,53007,2003,,,0,68366,6143359,True
CLALLAM,Washington,WA,53009,2003,,,0,66349,6143359,True
CLARK,Washington,WA,53011,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,30,369271,6143359,True
CLARK,Washington,WA,53011,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,10,369271,6143359,True
COLUMBIA,Washington,WA,53013,2003,,,0,4067,6143359,True
COWLITZ,Washington,WA,53015,2003,,,0,95783,6143359,True
DOUGLAS,Washington,WA,53017,2003,,,0,34341,6143359,True
FERRY,Washington,WA,53019,2003,,,0,7349,6143359,True
FRANKLIN,Washington,WA,53021,2003,,,0,58012,6143359,True
GARFIELD,Washington,WA,53023,2003,,,0,2358,6143359,True
GRANT,Washington,WA,53025,2003,,,0,79037,6143359,True
GRAYS HARBOR,Washington,WA,53027,2003,,,0,68839,6143359,True
ISLAND,Washington,WA,53029,2003,,,0,73653,6143359,True
JEFFERSON,Washington,WA,53031,2003,,,0,27372,6143359,True
KING,Washington,WA,53033,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,132,1795341,6143359,True
KING,Washington,WA,53033,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,30,1795341,6143359,True
KING,Washington,WA,53033,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,28,1795341,6143359,True
KITSAP,Washington,WA,53035,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,23,237730,6143359,True
KITTITAS,Washington,WA,53037,2003,,,0,35631,6143359,True
KLICKITAT,Washington,WA,53039,2003,,,0,19515,6143359,True
LEWIS,Washington,WA,53041,2003,,,0,70646,6143359,True
LINCOLN,Washington,WA,53043,2003,,,0,10293,6143359,True
MASON,Washington,WA,53045,2003,,,0,52818,6143359,True
OKANOGAN,Washington,WA,53047,2003,,,0,40032,6143359,True
PACIFIC,Washington,WA,53049,2003,,,0,20961,6143359,True
PEND OREILLE,Washington,WA,53051,2003,,,0,12096,6143359,True
PIERCE,Washington,WA,53053,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,77,729136,6143359,True
PIERCE,Washington,WA,53053,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,10,729136,6143359,True
SAN JUAN,Washington,WA,53055,2003,,,0,14568,6143359,True
SKAGIT,Washington,WA,53057,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,107181,6143359,True
SKAMANIA,Washington,WA,53059,2003,,,0,10233,6143359,True
SNOHOMISH,Washington,WA,53061,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,65,638218,6143359,True
SNOHOMISH,Washington,WA,53061,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,11,638218,6143359,True
SPOKANE,Washington,WA,53063,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,58,433946,6143359,True
SPOKANE,Washington,WA,53063,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,16,433946,6143359,True
STEVENS,Washington,WA,53065,2003,,,0,41114,6143359,True
THURSTON,Washington,WA,53067,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,220853,6143359,True
WAHKIAKUM,Washington,WA,53069,2003,,,0,3872,6143359,True
WALLA WALLA,Washington,WA,53071,2003,,,0,56257,6143359,True
WHATCOM,Washington,WA,53073,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,14,177118,6143359,True
WHITMAN,Washington,WA,53075,2003,,,0,41954,6143359,True
YAKIMA,Washington,WA,53077,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,228776,6143359,True
ADAMS,Washington,WA,53001,2004,,,0,17346,6226385,True
ASOTIN,Washington,WA,53003,2004,,,0,20981,6226385,True
BENTON,Washington,WA,53005,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,155553,6226385,True
CHELAN,Washington,WA,53007,2004,,,0,68951,6226385,True
CLALLAM,Washington,WA,53009,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,67071,6226385,True
CLARK,Washington,WA,53011,2004,Drug poisonings (overdose) Unintentional (X40-X44),D1,27,377283,6226385,True
