Year,State Population,County Name,State Abbreviation,County Population,TRANSACTION_MONTH,BUYER_MME,Policy State
2006,6392437,ADAMS,WA,17806,1,211,True
2006,6392437,ASOTIN,WA,21195,1,644,True
2006,6392437,BENTON,WA,162093,1,3475,True
2006,6392437,CHELAN,WA,70121,1,1840,True
2006,6392437,CLALLAM,WA,68515,1,2870,True
2006,6392437,CLARK,WA,393307,1,8040,True
2006,6392437,COLUMBIA,WA,4070,1,56,True
2006,6392437,COWLITZ,WA,98621,1,3602,True
2006,6392437,DOUGLAS,WA,36093,1,572,True
2006,6392437,FERRY,WA,7436,1,201,True
2006,6392437,FRANKLIN,WA,66646,1,973,True
2006,6392437,GARFIELD,WA,2319,1,46,True
2006,6392437,GRANT,WA,83360,1,2422,True
2006,6392437,GRAYS HARBOR,WA,70537,1,2408,True
2006,6392437,ISLAND,WA,75735,1,1493,True
2006,6392437,JEFFERSON,WA,28443,1,187,True
2006,6392437,KING,WA,1853607,1,41911,True
2006,6392437,KITSAP,WA,243478,1,5159,True
2006,6392437,KITTITAS,WA,37893,1,586,True
2006,6392437,KLICKITAT,WA,19860,1,128,True
2006,6392437,LEWIS,WA,72707,1,2316,True
2006,6392437,LINCOLN,WA,10413,1,233,True
2006,6392437,MASON,WA,56193,1,1031,True
2006,6392437,OKANOGAN,WA,40497,1,1152,True
2006,6392437,PACIFIC,WA,20943,1,817,True
2006,6392437,PEND OREILLE,WA,12486,1,590,True
2006,6392437,PIERCE,WA,757456,1,16782,True
2006,6392437,SAN JUAN,WA,15084,1,214,True
2006,6392437,SKAGIT,WA,111345,1,2695,True
2006,6392437,SKAMANIA,WA,10590,1,145,True
2006,6392437,SNOHOMISH,WA,670393,1,19444,True
2006,6392437,SPOKANE,WA,449924,1,15344,True
2006,6392437,STEVENS,WA,42146,1,1513,True
2006,6392437,THURSTON,WA,234314,1,4374,True
2006,6392437,WAHKIAKUM,WA,3920,1,64,True
2006,6392437,WALLA WALLA,WA,57337,1,1409,True
2006,6392437,WHATCOM,WA,187414,1,3160,True
2006,6392437,WHITMAN,WA,43166,1,599,True
2006,6392437,YAKIMA,WA,234974,1,3325,True
2007,6475463,ADAMS,WA,18036,1,212,True
