County Name,State,State Abbreviation,FIPS,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,County Population,State Population
ADAMS,Washington,WA,53001,2003,,,0,17116,6143359
ASOTIN,Washington,WA,53003,2003,,,0,20874,6143359
BENTON,Washington,WA,53005,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,152283,6143359
CHELAN,Washington,WA,53007,2003,,,0,68366,6143359
CLALLAM,Washington,WA,53009,2003,,,0,66349,6143359
CLARK,Washington,WA,53011,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,30,369271,6143359
CLARK,Washington,WA,53011,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,10,369271,6143359
COLUMBIA,Washington,WA,53013,2003,,,0,4067,6143359
COWLITZ,Washington,WA,53015,2003,,,0,95783,6143359
DOUGLAS,Washington,WA,53017,2003,,,0,34341,6143359
FERRY,Washington,WA,53019,2003,,,0,7349,6143359
FRANKLIN,Washington,WA,53021,2003,,,0,58012,6143359
GARFIELD,Washington,WA,53023,2003,,,0,2358,6143359
GRANT,Washington,WA,53025,2003,,,0,79037,6143359
GRAYS HARBOR,Washington,WA,53027,2003,,,0,68839,6143359
ISLAND,Washington,WA,53029,2003,,,0,73653,6143359
JEFFERSON,Washington,WA,53031,2003,,,0,27372,6143359
KING,Washington,WA,53033,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,132,1795341,6143359
KING,Washington,WA,53033,2003,Drug poisonings (overdose) Suicide (X60-X64),D2,30,1795341,6143359
KING,Washington,WA,53033,2003,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,28,1795341,6143359
KITSAP,Washington,WA,53035,2003,Drug poisonings (overdose) Unintentional (X40-X44),D1,23,237730,6143359
KITTITAS,Washington,WA,53037,2003,,,0,35631,6143359
KLICKITAT,Washington,WA,53039,2003,,,0,19515,6143359
LEWIS,Washington,WA,53041,2003,,,0,70646,6143359
LINCOLN,Washington,WA,53043,2003,,,0,10293,6143359
MASON,Washington,WA,53045,2003,,,0,52818,6143359
OKANOGAN,Washington,WA,53047,2003,,,0,40032,6143359
