Year,State Population,County Name,State Abbreviation,BUYER_MME
2003,6143359,ADAMS,WA,0
2003,6143359,ASOTIN,WA,0
2003,6143359,BENTON,WA,0
2003,6143359,CHELAN,WA,0
2003,6143359,CLALLAM,WA,0
2003,6143359,CLARK,WA,0
2003,6143359,COLUMBIA,WA,0
2003,6143359,COWLITZ,WA,0
2003,6143359,DOUGLAS,WA,0
2003,6143359,FERRY,WA,0
2003,6143359,FRANKLIN,WA,0
2003,6143359,GARFIELD,WA,0
2003,6143359,GRANT,WA,0
2003,6143359,GRAYS HARBOR,WA,0
2003,6143359,ISLAND,WA,0
2003,6143359,JEFFERSON,WA,0
2003,6143359,KING,WA,0
2003,6143359,KITSAP,WA,0
2003,6143359,KITTITAS,WA,0
2003,6143359,KLICKITAT,WA,0
2003,6143359,LEWIS,WA,0
2003,6143359,LINCOLN,WA,0
2003,6143359,MASON,WA,0
2003,6143359,OKANOGAN,WA,0
2003,6143359,PACIFIC,WA,0
2003,6143359,PEND OREILLE,WA,0
2003,6143359,PIERCE,WA,0
2003,6143359,SAN JUAN,WA,0
2003,6143359,SKAGIT,WA,0
2003,6143359,SKAMANIA,WA,0
2003,6143359,SNOHOMISH,WA,0
2003,6143359,SPOKANE,WA,0
2003,6143359,STEVENS,WA,0
2003,6143359,THURSTON,WA,0
2003,6143359,WAHKIAKUM,WA,0
2003,6143359,WALLA WALLA,WA,0
2003,6143359,WHATCOM,WA,0
2003,6143359,WHITMAN,WA,0
2003,6143359,YAKIMA,WA,0
2004,6226385,ADAMS,WA,0
2004,6226385,ASOTIN,WA,0
2004,6226385,BENTON,WA,0
2004,6226385,CHELAN,WA,0
2004,6226385,CLALLAM,WA,0
2004,6226385,CLARK,WA,0
2004,6226385,COLUMBIA,WA,0
2004,6226385,COWLITZ,WA,0
2004,6226385,DOUGLAS,WA,0
2004,6226385,FERRY,WA,0
2004,6226385,FRANKLIN,WA,0
2004,6226385,GARFIELD,WA,0
2004,6226385,GRANT,WA,0
2004,6226385,GRAYS HARBOR,WA,0
2004,6226385,ISLAND,WA,0
2004,6226385,JEFFERSON,WA,0
2004,6226385,KING,WA,0
2004,6226385,KITSAP,WA,0
2004,6226385,KITTITAS,WA,0
2004,6226385,KLICKITAT,WA,0
2004,6226385,LEWIS,WA,0
2004,6226385,LINCOLN,WA,0
2004,6226385,MASON,WA,0
2004,6226385,OKANOGAN,WA,0
2004,6226385,PACIFIC,WA,0
2004,6226385,PEND OREILLE,WA,0
2004,6226385,PIERCE,WA,0
2004,6226385,SAN JUAN,WA,0
2004,6226385,SKAGIT,WA,0
2004,6226385,SKAMANIA,WA,0
2004,6226385,SNOHOMISH,WA,0
2004,6226385,SPOKANE,WA,0
2004,6226385,STEVENS,WA,0
2004,6226385,THURSTON,WA,0
2004,6226385,WAHKIAKUM,WA,0
2004,6226385,WALLA WALLA,WA,0
2004,6226385,WHATCOM,WA,0
2004,6226385,WHITMAN,WA,0
2004,6226385,YAKIMA,WA,0
2005,6309411,ADAMS,WA,0
2005,6309411,ASOTIN,WA,0
2005,6309411,BENTON,WA,0
2005,6309411,CHELAN,WA,0
2005,6309411,CLALLAM,WA,0
2005,6309411,CLARK,WA,0
2005,6309411,COLUMBIA,WA,0
2005,6309411,COWLITZ,WA,0
2005,6309411,DOUGLAS,WA,0
2005,6309411,FERRY,WA,0
2005,6309411,FRANKLIN,WA,0
2005,6309411,GARFIELD,WA,0
2005,6309411,GRANT,WA,0
2005,6309411,GRAYS HARBOR,WA,0
2005,6309411,ISLAND,WA,0
2005,6309411,JEFFERSON,WA,0
2005,6309411,KING,WA,0
2005,6309411,KITSAP,WA,0
2005,6309411,KITTITAS,WA,0
2005,6309411,KLICKITAT,WA,0
