,County,County Code,Year,Deaths,State
52,Alachua,12001,2003,11,FL
53,Alachua,12001,2007,17,FL
54,Alachua,12001,2009,15,FL
55,Alachua,12001,2010,15,FL
56,Alachua,12001,2011,14,FL
57,Alachua,12001,2012,14,FL
58,Alachua,12001,2013,12,FL
59,Alachua,12001,2014,19,FL
60,Alachua,12001,2015,23,FL
173,Anders,48001,2004,11,TX
174,Anders,48001,2006,10,TX
175,Anders,48001,2008,10,TX
209,Aransas,48007,2006,10,TX
341,Bastrop,48021,2013,10,TX
343,Ba,12005,2003,21,FL
344,Ba,12005,2004,18,FL
345,Ba,12005,2005,17,FL
346,Ba,12005,2006,21,FL
347,Ba,12005,2007,30,FL
348,Ba,12005,2008,23,FL
349,Ba,12005,2009,18,FL
350,Ba,12005,2010,22,FL
351,Ba,12005,2012,15,FL
352,Ba,12005,2013,19,FL
353,Ba,12005,2014,22,FL
354,Ba,12005,2015,25,FL
399,Bell,48027,2005,10,TX
400,Bell,48027,2006,10,TX
401,Bell,48027,2007,10,TX
402,Bell,48027,2009,11,TX
403,Bell,48027,2010,22,TX
404,Bell,48027,2011,20,TX
405,Bell,48027,2012,26,TX
406,Bell,48027,2013,19,TX
407,Bell,48027,2014,17,TX
408,Bell,48027,2015,23,TX
424,Be,53005,2003,10,WA
425,Be,53005,2004,12,WA
426,Be,53005,2005,13,WA
427,Be,53005,2006,16,WA
428,Be,53005,2007,17,WA
429,Be,53005,2008,10,WA
430,Be,53005,2009,17,WA
431,Be,53005,2010,10,WA
432,Be,53005,2011,16,WA
433,Be,53005,2012,16,WA
434,Be,53005,2013,18,WA
435,Be,53005,2014,20,WA
436,Be,53005,2015,28,WA
519,Bexar,48029,2003,109,TX
520,Bexar,48029,2004,127,TX
521,Bexar,48029,2005,166,TX
522,Bexar,48029,2006,160,TX
523,Bexar,48029,2007,104,TX
524,Bexar,48029,2008,157,TX
525,Bexar,48029,2009,197,TX
526,Bexar,48029,2010,186,TX
527,Bexar,48029,2011,263,TX
528,Bexar,48029,2012,193,TX
529,Bexar,48029,2013,175,TX
530,Bexar,48029,2014,181,TX
531,Bexar,48029,2015,190,TX
654,Brazoria,48039,2003,13,TX
655,Brazoria,48039,2004,19,TX
656,Brazoria,48039,2005,31,TX
657,Brazoria,48039,2006,27,TX
658,Brazoria,48039,2007,22,TX
659,Brazoria,48039,2008,24,TX
660,Brazoria,48039,2009,37,TX
661,Brazoria,48039,2010,24,TX
662,Brazoria,48039,2011,36,TX
663,Brazoria,48039,2012,36,TX
664,Brazoria,48039,2013,26,TX
665,Brazoria,48039,2014,20,TX
666,Brazoria,48039,2015,29,TX
667,Brazos,48041,2008,10,TX
668,Brazos,48041,2010,11,TX
669,Brazos,48041,2011,19,TX
670,Brazos,48041,2014,20,TX
671,Brazos,48041,2015,17,TX
674,Brevard,12009,2003,97,FL
675,Brevard,12009,2004,111,FL
676,Brevard,12009,2005,119,FL
677,Brevard,12009,2006,107,FL
678,Brevard,12009,2007,104,FL
679,Brevard,12009,2008,121,FL
680,Brevard,12009,2009,135,FL
681,Brevard,12009,2010,135,FL
682,Brevard,12009,2011,123,FL
683,Brevard,12009,2012,113,FL
684,Brevard,12009,2013,106,FL
685,Brevard,12009,2014,111,FL
686,Brevard,12009,2015,155,FL
725,Broward,12011,2003,230,FL
726,Broward,12011,2004,272,FL
727,Broward,12011,2005,277,FL
728,Broward,12011,2006,258,FL
729,Broward,12011,2007,262,FL
730,Broward,12011,2008,313,FL
731,Broward,12011,2009,305,FL
732,Broward,12011,2010,262,FL
733,Broward,12011,2011,233,FL
734,Broward,12011,2012,228,FL
735,Broward,12011,2013,199,FL
736,Broward,12011,2014,220,FL
737,Broward,12011,2015,279,FL
994,amer,48061,2004,16,TX
995,amer,48061,2005,19,TX
996,amer,48061,2007,11,TX
997,amer,48061,2008,15,TX
998,amer,48061,2009,18,TX
999,amer,48061,2010,13,TX
